Komunikat|ID|Kraj|Kod|Miejscowość|Ulica|Nr domu|Nr mieszkania|Województwo|Powiat|Gmina
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Katowice,Ulica: Roździeńskiego,Wszystkie kody mają przypisaną ulicę|A1287342|PL|40-203|KATOWICE|Raździeńskiego|96|135|ŚLĄSKIE|KATOWICE|KATOWICE
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Starogard Gdański (ID=226126),Ulica: Dominika (ID=823908),Numer budynku: 24,Liczba znalezionych kodów: 0|A1288494|PL|83-200|STAROGARD GDAŃSKI|BP Dominki|24||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Polonijna,Wszystkie kody mają przypisaną ulicę|A1289673|PL|30-668|KRAKÓW|Polonijna|1||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Łódź (ID=179593),Ulica: Jaszowskiego (ID=808385),Numer budynku: 10,Liczba znalezionych kodów: 0|A1289701|PL|90-231|ŁÓDŹ|Jaszuńskiego|10||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Bydgoszcz (ID=161781),Ulica: Romańskiego (ID=615817),Numer budynku: 6,Liczba znalezionych kodów: 0|A1290149|PL|85-030|BYDGOSZCZ|Rumińskiego|6||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Mszana Dolna (ID=194582),Ulica: Zagórzan (ID=630724),Numer budynku: 5,Liczba znalezionych kodów: 0|A1293397|PL|34-730|MSZANA DOLNA|Zagórze|5||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Facimiech,Wszystkie kody mają przypisaną ulicę|A1296260|PL|30-667|KRAKÓW|Facimech|3|2|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Michałowice (ID=199967),Ulica: Bukowa (ID=678486),Numer budynku: 14,Liczba znalezionych kodów: 0|A1297406|PL|05-816|MICHAŁOWICE|Łąkowa|14||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Biskupia,Wszystkie kody mają przypisaną ulicę|A1297638|PL|31-144|KRAKÓW|Biskupia|3||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Katowice,Ulica: Roździeńskiego,Wszystkie kody mają przypisaną ulicę|A1300008|PL|40-203|KATOWICE|al.Rożdżeńskiego|188||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Facimiech,Wszystkie kody mają przypisaną ulicę|A1303861|PL|30-667|KRAKÓW|Facimiech|16|8|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Ogrodniki,Wszystkie kody mają przypisaną ulicę|A1304784|PL|30-421|KRAKÓW|Ogrodniki|10a||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Starachowice (ID=233998),Ulica: Rogowskiego (ID=768883),Numer budynku: 9,Liczba znalezionych kodów: 0|A1306216|PL|27-200|STARACHOWICE|Mrozowskiego|9||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Warszawa,Ulica: Czackiego,Wszystkie kody mają przypisaną ulicę|A1306350|PL|00-043|WARSZAWA|Czackiego|19||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Szczecin,Ulica: Nowa,Wszystkie kody mają przypisaną ulicę|A1307735|PL|72-003|SZCZECIN|Sasankowa|25||ZACHODNIOPOMORSKIE|SZCZECIN|SZCZECIN
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Medyczna,Wszystkie kody mają przypisaną ulicę|A1309388|PL|30-688|KRAKÓW|Medyczna|7||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Biskupia,Wszystkie kody mają przypisaną ulicę|A1325193|PL|31-142|KRAKÓW|Biskupia|22|1|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Wrocław,Ulica: Mikołaja,Wszystkie kody mają przypisaną ulicę|A1330234|PL|50-125|WROCŁAW|ul. Św. Mikołaja|8.-11.||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Chechło (ID=231168),Ulica: Łąkowa (ID=705637),Numer budynku: 10,Liczba znalezionych kodów: 0|A1333051|PL|95-082|CHECHŁO|Lipowa|10||ŁÓDZKIE|PABIANICKI|DOBROŃ
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Katowice,Ulica: Roździeńskiego,Wszystkie kody mają przypisaną ulicę|A1338149|PL|40-203|KATOWICE|Al. Rodzieńskiego|190B||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Facimiech,Wszystkie kody mają przypisaną ulicę|A1342301|PL|30-667|KRAKÓW|Facimiech|14|9|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Brzezinka,Ulica: Męczeństwa Narodów,Miejscowość nie ma kodów pocztowych|A1350054|PL|32-610|BRZEZINKA|Męczeństwa Narodów|8||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Biskupia,Wszystkie kody mają przypisaną ulicę|A1350807|PL|31-144|KRAKÓW|Biskupia|20|3|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Biłgoraj (ID=168159),Ulica: Borowskiego (ID=628832),Numer budynku: 3,Liczba znalezionych kodów: 0|A1350928|PL|23-400|BIŁGORAJ|Borelowskiego|3||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Chorzów,Ulica: Róż,Wszystkie kody mają przypisaną ulicę|A1362261|PL|32-500|CHORZÓW|Kroczymiech|2||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Chrzanów (ID=195254),Ulica: 29 Listopada (ID=636516),Numer budynku: 22,Liczba znalezionych kodów: 0|A1368235|PL|32-590|CHRZANÓW|11 Listopada|22|26|MAŁOPOLSKIE||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Głogów,Ulica: Powstańców,Wszystkie kody mają przypisaną ulicę|A1368237|PL|67-200|GŁOGÓW|Powstańców|07-mar||DOLNOŚLĄSKIE||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Bielsko-Biała,Ulica: Roztoki,Wszystkie kody mają przypisaną ulicę|A1368530|PL|43-316|BIELSKO-BIAŁA|Roztoki|3|120|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Sosnowiec,Ulica: Dietla,Wszystkie kody mają przypisaną ulicę|A1370044|PL|41-214|SOSNOWIEC|Dietla|5a|10|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Zabrze,Ulica: Kroczka,Wszystkie kody mają przypisaną ulicę|A1371744|PL|41-807|ZABRZE|Pl.N.Kroczka|9|1|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Brzesko (ID=187732),Ulica: Makowa (ID=665736),Numer budynku: 17,Liczba znalezionych kodów: 0|A1372044|PL|32-800|BRZESKO|Zamkowa|17||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Częstochowa,Ulica: Mickiewicza,Wszystkie kody mają przypisaną ulicę|A1376591|PL|42-200|CZĘSTOCHOWA|ul. zMickiewicza|16|11|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Brzesko (ID=187732),Ulica: Zagłoby (ID=671195),Numer budynku: 93,Liczba znalezionych kodów: 0|A1377330|PL|32-800|BRZESKO|Zagrody|93||MAŁOPOLSKIE|BRZESKI|BRZESKO
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Będzin,Ulica: Zagórnego,Wszystkie kody mają przypisaną ulicę|A1378193|PL|42-506|BĘDZIN|mjr. Bolesława Zagórnego|18||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Bydgoszcz (ID=161781),Ulica: Romańskiego (ID=615817),Numer budynku: 6,Liczba znalezionych kodów: 0|A1383006|PL|85-030|BYGDOSZCZ|Rumińskiego|6||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Pisarzowice (ID=229303),Ulica: Zaciszna (ID=726074),Numer budynku: 3,Liczba znalezionych kodów: 0|A1386192|PL|43-332|PISARZOWICE|Zacisze|3||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Mysłowice,Ulica: Obrzeżna Zachodnia,Wszystkie kody mają przypisaną ulicę|A1388426|PL|41-400|MYSŁOWICE|ul Onrzeźna Zachodnia 37|||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Łódź,Ulica: Wyszyńskiego,Wszystkie kody mają przypisaną ulicę|A1388449|PL|94-050|ŁÓDŹ|Al.Wyszyńskiego|83|17|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Chrzanów (ID=195254),Ulica: Kadłubek (ID=618397),Numer budynku: 22A,Liczba znalezionych kodów: 0|A1390384|PL|32-500|CHRZANÓW|Kadłubka|22A|52|MAŁOPOLSKIE|CHRZANOWSKI|CHRZANÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Radłów (ID=187202),Ulica: Leśna (ID=800661),Numer budynku: 93,Liczba znalezionych kodów: 0|A1390627|PL|33-130|RADŁÓW|ul. Bohaterów Września|93||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Gliwice,Ulica: Usługowa,Wszystkie kody mają przypisaną ulicę|A1390931|PL|44-100|GLIWICE|ul. Usługowa|20||ŚLĄSKIE||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Częstochowa,Ulica: Tokarzewskiego-Karaszewicza,Wszystkie kody mają przypisaną ulicę|A1391103|PL|42-221|CZĘSTOCHOWA|Ul. Tokarzewskiego-Karaszewicz|17||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Bielsko-Biała,Ulica: Roztoki,Wszystkie kody mają przypisaną ulicę|A1391712|PL|43-316|BIELSKO-BIAŁA|Ul. Roztoki|1|19|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Sosnowiec,Ulica: Dietla,Wszystkie kody mają przypisaną ulicę|A1391826|PL|41-200|SOSNOWIEC|Dietla|16||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Żory,Ulica: Dębowa,Wszystkie kody mają przypisaną ulicę|A1393867|PL|44-240|ŻORY|Dębowa|25||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Bielsko-Biała,Ulica: Roztoki,Wszystkie kody mają przypisaną ulicę|A1393894|PL|43-316|BIELSKO-BIAŁA|Ul. Roztoki|3|94|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Koszyce Wielkie (ID=192142),Ulica: Wąska (ID=668456),Numer budynku: 35,Liczba znalezionych kodów: 0|A1394556|PL|33-111|KOSZYCE WIELKIE|Wolska|35||MAŁOPOLSKIE|TARNOWSKI|TARNÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Sosnowiec,Ulica: Dietla,Wszystkie kody mają przypisaną ulicę|A1394600|PL|41-214|SOSNOWIEC|Dietla|7a|9|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Jędrzejów (ID=235846),Ulica: Krzywoustego (ID=767628),Numer budynku: 3,Liczba znalezionych kodów: 0|A1394776|PL|28-300|JĘDRZEJÓW|Bolesława Krzywouste|3||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Biskupia,Wszystkie kody mają przypisaną ulicę|A1394915|PL|31-144|KRAKÓW|Biskupia|20||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Oraczy,Wszystkie kody mają przypisaną ulicę|A1395756|PL|30-418|KRAKÓW|Oraczy|12|1|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Skalbmierz (ID=236669),Ulica: Sokoła (ID=767162),Numer budynku: 3,Liczba znalezionych kodów: 0|A1396262|PL|28-530|SKALBMIERZ|Szkolna|3||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Skarżysko-Kamienna (ID=234026),Ulica: Sokola (ID=754633),Numer budynku: 15,Liczba znalezionych kodów: 0|A1396600|PL|26-110|SKARŻYSKO KAMIENNA|Sokołów|15|50|ŚWIĘTOKRZYSKIE|SKARŻYSKI|SKARŻYSKO-KAMIENNA
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Wrocław,Ulica: Mikołaja,Wszystkie kody mają przypisaną ulicę|A1396785|PL|50-126|WROCŁAW|Św. Mikołaja|72||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Drzycim (ID=160949),Ulica: Szkolna (ID=645369),Numer budynku: 1,Liczba znalezionych kodów: 0|A1398729|PL|86-140|DRZYCIM|Szklana|1||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Józefów,Ulica: Skłodowskiej,Wszystkie kody mają przypisaną ulicę|A1399718|PL|05-420|JÓZEFÓW|ul.Skłodowskiej|22a||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Głogów,Ulica: Powstańców,Wszystkie kody mają przypisaną ulicę|A1400690|PL|67-200|GŁOGÓW|Powstańców|9|5|DOLNOŚLĄSKIE|GŁOGOWSKI|GŁOGÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Trzebinia (ID=228749),Ulica: Łowiecka (ID=750770),Numer budynku: 10,Liczba znalezionych kodów: 0|A1402340|PL||TRZEBINIA|ul.Łokietka|10||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Rybnik,Ulica: ROW,Wszystkie kody mają przypisaną ulicę|A1404193|PL|44-217|RYBNIK|Zebrzydowska|117||ŚLĄSKIE||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kielce,Ulica: Maja,Wszystkie kody mają przypisaną ulicę|A1406050|PL|25-372|KIELCE|Seminaryjna|11|6|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Biskupia,Wszystkie kody mają przypisaną ulicę|A1409857|PL|31-144|KRAKÓW|Biskupia|1||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Olsztyn,Ulica: Poznańskiego,Wszystkie kody mają przypisaną ulicę|A1410881|PL|10-767|OLSZTYN|POZNAŃSKIEGO|13||WARMIŃSKO-MAZURSKIE|OLSZTYN|OLSZTYN
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Wrocław,Ulica: Sikorskiego,Wszystkie kody mają przypisaną ulicę|A141151|PL|53-659|WROCŁAW|Gen. ładysława Sikorskiego|2-8||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Żory,Ulica: Władysława,Wszystkie kody mają przypisaną ulicę|A1411525|PL|44-240|ŻORY|oś.Księcia Władysława|13G|6|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Wolsztyn (ID=250331),Ulica: Pogodna (ID=787200),Numer budynku: 16,Liczba znalezionych kodów: 0|A1411538|PL||WOLSZTYN|ul.Podgórna|16||||
