ID|Kraj|Kod|Miasto|Ulica|NrDomu|NrLokalu|Wojewodztwo|Powiat|Gmina
A1402737|PL|31-406[]|Kraków|al.[ul.29 Listopada]|125||MAŁOPOLSKIE|Kraków|Kraków
A1402987|PL|32-420[32-490]|Nieznanowice||11b||MAŁOPOLSKIE|wielicki|Gdów
A1403308|PL|30-079[]|Kraków|al.[ul.Kijowska]|12||MAŁOPOLSKIE|Kraków|Kraków
A1405197|PL|47-100[]|Strzelce Opolskie|[UL.rYNEK]|10|13|OPOLSKIE[]|strzelecki[]|Strzelce Opolskie[]
A1410311|PL|78-300[]|Świdwin|pl.[ul.Sybiraków]|1||ZACHODNIOPOMORSKIE[]|świdwiński[]|Świdwin[]
A1410598|PL|50-541|Wrocław|al.[ul.Armii Krajowej]|54||DOLNOŚLĄSKIE[]|Wrocław[]|Wrocław[]
A1414252|PL|27-200|Starachowice|al.[Ul.Armii Krajowej]|11|54|ŚWIĘTOKRZYSKIE[]|starachowicki[]|Starachowice[]
A1414476|PL|39-400|Tarnobrzeg|pl.[Ul.Tysiąclecia]|3|10|PODKARPACKIE[]|Tarnobrzeg[]|Tarnobrzeg[]
A1414601|PL|34-500|Zakopane|ul.[Oś. Gubałówka]|190||MAŁOPOLSKIE[]|tatrzański[]|Zakopane[]
A1416089|PL|37-564[37-560]|Jodłówka||380B||PODKARPACKIE[]|jarosławski[]|Pruchnik[]
A1417308|PL|38-211[38-200]|Jabłonica||102||PODKARPACKIE[]|jasielski[]|Skołyszyn[]
A1419813|PL|32-112[32-100]|Szczytniki||36||MAŁOPOLSKIE[]|proszowicki[]|Proszowice[]
A1423030|PL|09-452[09-454]|Chlebowo|[CHLEBOWO]|16||MAZOWIECKIE[]|płocki[]|Bulkowo[]
A1424512|PL|34-206[34-232]|Kuków||152||MAŁOPOLSKIE[]|suski[]|Stryszawa[]
A1429265|PL|28-210[28-213]|Jurkowice|[JURKOWICE]|3|3|ŚWIĘTOKRZYSKIE[]|staszowski[]|Bogoria[]
A1433720|PL|01-167[02-025]|Warszawa|ul.[pl.Zawiszy]|1||MAZOWIECKIE[]|Warszawa[]|Warszawa[]
A1434475|PL|31-861[65-042]|Kraków|os.[al.Niepodległości]|25||MAŁOPOLSKIE|Kraków|Kraków
A1436522|PL|26-200[26-242]|Końskie|[Końskie]|102B|2|ŚWIĘTOKRZYSKIE[]|konecki[]|Końskie[]
A1436925|PL|39-127[39-128]|Klęczany||166||PODKARPACKIE[]|ropczycko-sędziszowski[]|Sędziszów Małopolski[]
A1437025|PL|23-420|Różaniec Drugi[Różaniec]|[Różaniec Drugi]|28||LUBELSKIE[]|biłgorajski[]|Tarnogród[]
A1437443|PL|32-410[32-422]|Stadniki||65||MAŁOPOLSKIE[]|myślenicki[]|Dobczyce[]
A1437482|PL|37-564[37-560]|Jodłówka||317||PODKARPACKIE[]|jarosławski[]|Pruchnik[]
A1438023|PL|34-330[34-300]|Trzebinia||144||ŚLĄSKIE[]|żywiecki[]|Świnna[]
A1439956|PL|66-425[66-446]|Kiełpin||11/B||LUBUSKIE[]|gorzowski[]|Deszczno[]
A1441618|PL|24-100[24-101]|Borowa|[BOROWA]|67||LUBELSKIE[]|puławski[]|Puławy[]
A1442441|PL|32-650|Kęty|ul.[os.Hutnika]|2|28|MAŁOPOLSKIE[]|oświęcimski[]|Kęty[]
A1443274|PL|32-410[32-422]|Stadniki||128||MAŁOPOLSKIE|myślenicki|Dobczyce[MYŚLENICE]
A1443788|PL|34-350[34-361]|Żabnica||20||ŚLĄSKIE|żywiecki[]|Węgierska Górka[]
A1449809|PL|34-206[34-232]|Kuków||141||MAŁOPOLSKIE[]|suski[]|Stryszawa[]
A1466956|PL|34-730[34-734]|Olszówka||499||MAŁOPOLSKIE[]|limanowski[]|Mszana Dolna[]
A1468693|PL|86-014|Osówiec[SICIENKO]|[Osówiec]|68||KUJAWSKO-POMORSKIE[]|bydgoski[]|Sicienko[]
A1469591|PL|23-420|Różaniec Drugi[Różaniec]|[Różaniec Drugi]|134||LUBELSKIE[]|biłgorajski[]|Tarnogród[]
A1474544|PL|83-300|Kartuzy|[ul.Rynek 3A]|3A[]||POMORSKIE[]|kartuski[]|Kartuzy[]
A1474706|PL|43-400|Cieszyn|[ul.Rynek 14]|14[]||ŚLĄSKIE[]|cieszyński[]|Cieszyn[]
A1474720|PL|48-370|Paczków|[ul.Rynek 11]|11[]||OPOLSKIE[]|nyski[]|Paczków[]
A1474733|PL|20-147[20-483]|Lublin|al.[ul.Spółdzielczości Pracy 26]|26[]||LUBELSKIE[]|Lublin[]|Lublin[]
A1474818|PL|58-200|Dzierżoniów|[ul.Rynek 17]|17[]||DOLNOŚLĄSKIE[]|dzierżoniowski[]|Dzierżoniów[]
A1474907|PL|34-130|Kalwaria Zebrzydowska|[ul.Rynek 2]|2[]||MAŁOPOLSKIE[]|wadowicki[]|Kalwaria Zebrzydowska[]
A1475082|PL|80-309|Gdańsk|al.[ul.Grunwaldzka 345]|345[]||POMORSKIE[]|Gdańsk[]|Gdańsk[]
A1475097|PL|02-797[02-777]|Warszawa|al.[ul.Komisji Edukacji Narodowej]|19||MAZOWIECKIE[]|Warszawa[]|Warszawa[]
A1475268|PL|43-353|Porąbka|[ul.Rynek 5]|5[]||ŚLĄSKIE[]|bielski[]|Porąbka[]
A1475277|PL|22-107|Sawin|[UL.RYNEK 6]|6[]||LUBELSKIE[]|chełmski[]|Sawin[]
A1475290|PL|43-200|Pszczyna|[UL.RYNEK 6]|6[]||ŚLĄSKIE[]|pszczyński[]|Pszczyna[]
A1475318|PL|38-213|Kołaczyce|[UL.RYNEK 2]|2[]||PODKARPACKIE[]|jasielski[]|Kołaczyce[]
A1475321|PL|38-480|Rymanów|[UL.RYNEK 14]|14[]||PODKARPACKIE[]|krośnieński[]|Rymanów[]
A1475323|PL|38-460|Jedlicze|[UL.RYNEK 3]|3[]||PODKARPACKIE[]|krośnieński[]|Jedlicze[]
A1475328|PL|39-200|Dębica|[ul.Rynek 5]|5[]||PODKARPACKIE[]|dębicki[]|Dębica[]
A1475377|PL|27-100|Iłża|[UL.RYNEK 1]|1[]||MAZOWIECKIE[]|radomski[]|Iłża[]
A1475381|PL|36-060|Głogów Małopolski|[UL.RYNEK 23]|23[]||PODKARPACKIE[]|rzeszowski[]|Głogów Małopolski[]
A1475388|PL|39-100|Ropczyce|[UL.RYNEK 13]|13[]||PODKARPACKIE[]|ropczycko-sędziszowski[]|Ropczyce[]
A1475395|PL|36-110|Majdan Królewski|[UL.RYNEK 1]|1[]||PODKARPACKIE[]|kolbuszowski[]|Majdan Królewski[]
A1475411|PL|37-410|Ulanów|[UL.RYNEK 42]|42[]||PODKARPACKIE[]|niżański[]|Ulanów[]
A1475439|PL|22-425|Grabowiec|[UL.RYNEK 2]|2[]||LUBELSKIE[]|zamojski[]|Grabowiec[]
A1475772|PL|39-200|Dębica|[ul.Rynek 27]|27[]||PODKARPACKIE[]|dębicki[]|Dębica[]
A1475873|PL|63-800|Gostyń|[ul.Rynek 6]|6[]||WIELKOPOLSKIE[]|gostyński[]|Gostyń[]
A1475875|PL|63-900|Rawicz|[ul.Rynek 16]|16[]||WIELKOPOLSKIE[]|rawicki[]|Rawicz[]
A1475962|PL|21-580|Wisznice|[UL.RYNEK 13]|13[]||LUBELSKIE[]|bialski[]|Wisznice[]
A1475969|PL|16-140|Korycin|[UL.RYNEK 11]|11[]||PODLASKIE[]|sokólski[]|Korycin[]
A1475993|PL|34-300|Żywiec|[ul.Rynek 23]|23[]||ŚLĄSKIE[]|żywiecki[]|Żywiec[]
A1476028|PL|22-120|Wojsławice|[UL.RYNEK 23]|23[]||LUBELSKIE[]|chełmski[]|Wojsławice[]
A1476064|PL|06-550|Szreńsk|[UL.RYNEK 5]|5[]||MAZOWIECKIE[]|mławski[]|Szreńsk[]
A1476108|PL|42-248|Przyrów|[UL.RYNEK 1]|1[]||ŚLĄSKIE[]|częstochowski[]|Przyrów[]
A1476145|PL|73-200|Choszczno|[ul.Rynek 2]|2[]||ZACHODNIOPOMORSKIE[]|choszczeński[]|Choszczno[]
A1476173|PL|63-604|Baranów|[UL.RYNEK 12]|12[]||WIELKOPOLSKIE[]|kępiński[]|Baranów[]
A1476220|PL|47-470|Krzanowice|[UL.RYNEK 1]|1[]||ŚLĄSKIE[]|raciborski[]|Krzanowice[]
A1476228|PL|26-006|Nowa Słupia|[UL.RYNEK 4]|4[]||ŚWIĘTOKRZYSKIE[]|kielecki[]|Nowa Słupia[]
A1476257|PL|72-320|Trzebiatów|[UL.RYNEK 18]|18[]||ZACHODNIOPOMORSKIE[]|gryficki[]|Trzebiatów[]
A1476286|PL|32-840|Zakliczyn|[UL.RYNEK 4]|4[]||MAŁOPOLSKIE[]|tarnowski[]|Zakliczyn[]
A1476291|PL|32-720|Nowy Wiśnicz|[UL.RYNEK 23]|23[]||MAŁOPOLSKIE[]|bocheński[]|Nowy Wiśnicz[]
A1476301|PL|32-420|Gdów|[UL.RYNEK 116]|116[]||MAŁOPOLSKIE[]|wielicki[]|Gdów[]
A1476305|PL|28-220|Oleśnica|[UL.RYNEK 37]|37[]||ŚWIĘTOKRZYSKIE[]|staszowski[]|Oleśnica[]
A1476312|PL|32-200|Miechów|[UL.RYNEK 16]|16[]||MAŁOPOLSKIE[]|miechowski[]|Miechów[]
A1476328|PL|32-050|Skawina|[UL.RYNEK 19]|19[]||MAŁOPOLSKIE[]|krakowski[]|Skawina[]
A1476334|PL|38-340[38-250]|Biecz|[UL.RYNEK 15]|15[]||MAŁOPOLSKIE[]|gorlicki[]|Biecz[]
A1476360|PL|59-500|Złotoryja|[UL.RYNEK 42]|42[]||DOLNOŚLĄSKIE[]|złotoryjski[]|Złotoryja[]
A1476364|PL|64-000|Kościan|[UL.RYNEK 23]|23[]||WIELKOPOLSKIE[]|kościański[]|Kościan[]
A1476366|PL|63-930|Jutrosin|[UL.RYNEK 18]|18[]||WIELKOPOLSKIE[]|rawicki[]|Jutrosin[]
A1476398|PL|24-120|Kazimierz Dolny|[UL.RYNEK 14]|14[]||LUBELSKIE[]|puławski[]|Kazimierz Dolny[]
A1476437|PL|34-470|Czarny Dunajec|[UL.RYNEK 19]|19[]||MAŁOPOLSKIE[]|nowotarski[]|Czarny Dunajec[]
A1476439|PL|33-330|Grybów|[UL.RYNEK 13]|13[]||MAŁOPOLSKIE[]|nowosądecki[]|Grybów[]
A1476442|PL|34-240[34-785]|Jordanów|[UL.RYNEK 44]|44[]||MAŁOPOLSKIE[]|suski[]|Jordanów[]
A1476444|PL|34-600|Limanowa|[UL.RYNEK 7]|7[]||MAŁOPOLSKIE[]|limanowski[]|Limanowa[]
A1476449|PL|34-730|Mszana Dolna|[UL.RYNEK 1]|1[]||MAŁOPOLSKIE[]|limanowski[]|Mszana Dolna[]
A1476454|PL|34-400|Nowy Targ|[UL.RYNEK 11]|11[]||MAŁOPOLSKIE[]|nowotarski[]|Nowy Targ[]
A1476501|PL|48-385|Otmuchów|[ul.Rynek 1B]|1B[]||OPOLSKIE[]|nyski[]|Otmuchów[]
A1476503|PL|47-200|Kędzierzyn-Koźle[KĘDZIERZYN KOŻLE]|[UL.RYNEK 6A]|6A[]||OPOLSKIE[]|kędzierzyńsko-kozielski[]|Kędzierzyn-Koźle[]
A1476504|PL|47-260|Polska Cerekiew|[UL.RYNEK 12]|12[]||OPOLSKIE[]|kędzierzyńsko-kozielski[]|Polska Cerekiew[]
A1476505|PL|47-200|Kędzierzyn-Koźle|[ul.Rynek 6A]|6A[]||OPOLSKIE[]|kędzierzyńsko-kozielski[]|Kędzierzyn-Koźle[]
A1476521|PL|49-100|Niemodlin|[UL.RYNEK 30]|30[]||OPOLSKIE[]|opolski[]|Niemodlin[]
A1476528|PL|48-250|Głogówek|[UL.RYNEK 20A]|20A[]||OPOLSKIE[]|prudnicki[]|Głogówek[]
A1476546|PL|46-310|Gorzów Śląski|[UL.RYNEK 10]|10[]||OPOLSKIE[]|oleski[]|Gorzów Śląski[]
A1476570|PL|77-400|Złotów|al.[UL.PIASTA 46]|46[]||WIELKOPOLSKIE[]|złotowski[]|Złotów[]
A1476580|PL|64-520|Obrzycko|[UL.RYNEK 16]|16[]||WIELKOPOLSKIE[]|szamotulski[]|Obrzycko[]
A1476591|PL|09-500|Gostynin|[ul.Rynek 4/5]|4/5[]||MAZOWIECKIE[]|gostyniński[]|Gostynin[]
A1476646|PL|37-750|Dubiecko|[UL.RYNEK 1]|1[]||PODKARPACKIE[]|przemyski[]|Dubiecko[]
A1476650|PL|37-600|Lubaczów|[UL.RYNEK 28]|28[]||PODKARPACKIE[]|lubaczowski[]|Lubaczów[]
A1476716|PL|36-050|Sokołów Małopolski|[UL.RYNEK 4]|4[]||PODKARPACKIE[]|rzeszowski[]|Sokołów Małopolski[]
A1476763|PL|99-423|Bielawy|[UL.RYNEK 1]|1[]||ŁÓDZKIE[]|łowicki[]|Bielawy[]
A1476806|PL|74-510|Trzcińsko-Zdrój|[UL.RYNEK 13]|13[]||ZACHODNIOPOMORSKIE[]|gryfiński[]|Trzcińsko-Zdrój[]
A1476843|PL|37-418|Krzeszów|[UL.RYNEK 6]|6[]||PODKARPACKIE[]|niżański[]|Krzeszów[]
A1476850|PL|39-450|Baranów Sandomierski|[UL.RYNEK 8]|8[]||PODKARPACKIE[]|tarnobrzeski[]|Baranów Sandomierski[]
A1476860|PL|87-140|Chełmża|[UL.RYNEK 2]|2[]||KUJAWSKO-POMORSKIE[]|toruński[]|Chełmża[]
A1476863|PL|13-300|Nowe Miasto Lubawskie|[UL.RYNEK 3]|3[]||WARMIŃSKO-MAZURSKIE[]|nowomiejski[]|Nowe Miasto Lubawskie[]
A1476868|PL|82-300|Elbląg|al.[ul.Grunwaldzka 2]|2[]||WARMIŃSKO-MAZURSKIE[]|Elbląg[]|Elbląg[]
A1476876|PL|57-340|Duszniki-Zdrój[DUSZNIKI ZDRÓJ]|[ul.Rynek 4]|4[]||DOLNOŚLĄSKIE[]|kłodzki[]|Duszniki-Zdrój[]
A1476885|PL|57-256|Bardo|[ul.Rynek 4]|4[]||DOLNOŚLĄSKIE[]|ząbkowicki[]|Bardo[]
A1476886|PL|58-230|Niemcza|[ul.Rynek 10]|10[]||DOLNOŚLĄSKIE[]|dzierżoniowski[]|Niemcza[]
A1476887|PL|57-250|Złoty Stok|[ul.Rynek 22]|22[]||DOLNOŚLĄSKIE[]|ząbkowicki[]|Złoty Stok[]
A1476888|PL|57-220|Ziębice|[UL.RYNEK 10]|10[]||DOLNOŚLĄSKIE[]|ząbkowicki[]|Ziębice[]
A1476907|PL|55-080|Kąty Wrocławskie[KATY WROCŁAWSKIE]|[ul.Rynek 4]|4[]||DOLNOŚLĄSKIE[]|wrocławski[]|Kąty Wrocławskie[]
A1476934|PL|56-100|Wołów|[UL.RYNEK 26]|26[]||DOLNOŚLĄSKIE[]|wołowski[]|Wołów[]
A1476938|PL|23-440|Frampol|[UL.RYNEK 16]|16[]||LUBELSKIE[]|biłgorajski[]|Frampol[]
A1476953|PL|22-523|Horodło|[UL.RYNEK 15]|15[]||LUBELSKIE[]|hrubieszowski[]|Horodło[]
A1476958|PL|22-420|Skierbieszów|[UL.RYNEK 1]|1[]||LUBELSKIE[]|zamojski[]|Skierbieszów[]
A1476959|PL|22-470|Zwierzyniec|[UL.RYNEK 2B]|2B[]||LUBELSKIE[]|zamojski[]|Zwierzyniec[]
A1476969|PL|67-124|Nowe Miasteczko|[ul.Rynek 25]|25[]||LUBUSKIE[]|nowosolski[]|Nowe Miasteczko[]
A1477077|PL|27-400|Ostrowiec Świętokrzyski|[ul.Rynek 8]|8[]||ŚWIĘTOKRZYSKIE[]|ostrowiecki[]|Ostrowiec Świętokrzyski[]
A1477090|PL|24-100|Puławy|al.[ul.Partyzantów 3]|3[]||LUBELSKIE[]|puławski[]|Puławy[]
A1477165|PL|43-400|Cieszyn|[ul.Rynek 20]|20[]||ŚLĄSKIE[]|cieszyński[]|Cieszyn[]
A1477186|PL|32-400|Myślenice|[ul.Rynek 4]|4[]||MAŁOPOLSKIE[]|myślenicki[]|Myślenice[]
A1477249|PL|85-090|Bydgoszcz|al.[ul.Powstańców Wlkp. 26]|26[]||KUJAWSKO-POMORSKIE[]|Bydgoszcz[]|Bydgoszcz[]
A1477325|PL|59-500|Złotoryja|[ul.Rynek 5]|5[]||DOLNOŚLĄSKIE[]|złotoryjski[]|Złotoryja[]
A1477349|PL|56-100|Wołów|[ul.Rynek 1/4]|1/4[]||DOLNOŚLĄSKIE[]|wołowski[]|Wołów[]
A1477406|PL|80-244|Gdańsk|al.[ul.Grunwaldzka 92/98]|92/98[]||POMORSKIE[]|Gdańsk[]|Gdańsk[]
A1477474|PL|08-200|Łosice|[ul.Rynek 14]|14[]||MAZOWIECKIE[]|łosicki[]|Łosice[]
A1477693|PL|02-797|Warszawa|al.[ul.Komisji Edukacji Narodowej]|46||MAZOWIECKIE[]|Warszawa[]|Warszawa[]
