ID|Kraj|Kod|Miasto|Ulica|NrDomu|NrLokalu|Wojewodztwo|Powiat|Gmina
A11795362|PL|05-530|Góra Kalwaria|ul. płk Witolda  Pileckiego[Rtm.Witolda Pileckiego]|56|1|MAZOWIECKIE[]|piaseczyński[]|Góra Kalwaria[]
A1180763|PL|30-053|Kraków|ul. kronikarza Galla  Anonima[Galla]|19|9|MAŁOPOLSKIE|Kraków|Kraków
A1183710|PL|31-543[]|Kraków|ul. płk Francesca  Nulla[Fr.Nullo]|12|5|MAŁOPOLSKIE[ŁÓDZKIE]|Kraków[WIELUŃSKI]|Kraków[WIERZCHLAS]
A1185553|PL|32-200|Miechów|os. gen. Władysława  Sikorskiego[os.Gen.Wł.Sikorskiego]|8|9|MAŁOPOLSKIE|miechowski|Miechów
A1189439|PL|32-590|Libiąż[LIBIAZ]|ul. św. Barbary[Barbary]|15||MAŁOPOLSKIE[ŁÓDZKIE]|chrzanowski[WIELUŃSKI]|Libiąż[WIERZCHLAS]
A1189468|PL|37-705[37-731]|Siedliska|[Siedliska]|114||PODKARPACKIE[ŁÓDZKIE]|przemyski[WIELUŃSKI]|Medyka[WIERZCHLAS]
A1189579|PL|27-225[27-216]|Szerzawy|[SZERZAWY]|96||ŚWIĘTOKRZYSKIE|starachowicki|Pawłów
A1190444|PL|26-615[26-600]|Radom|ul. ks. kap. hm. Ignacego Jana Skorupki[ks.Skorupki]|9|25|MAZOWIECKIE|Radom|Radom
A1190513|PL|43-300|Bielsko-Biała[BIELSKO BIALA]|ul. księcia Przemysława[PRZEMYSLAWA]|6||ŚLĄSKIE[ŁÓDZKIE]|Bielsko-Biała[WIELUŃSKI]|Bielsko-Biała[WIERZCHLAS]
A1191241|PL|32-020[32-041]|Bodzanów[BODZANOW]|[Bodzanow]|219||MAŁOPOLSKIE[ŁÓDZKIE]|wielicki[WIELUŃSKI]|Biskupice[WIERZCHLAS]
A1196291|PL|31-709[31-706]|Kraków|ul. króla Stanisława Augusta Poniatowskiego[S.A.Poniatowskiego]|6||MAŁOPOLSKIE|Kraków|Kraków
A1200273|PL|71-541[70-541]|Szczecin|ul. św. Cyryla  i Metodego[Cyryla i Metodego]|9 a||ZACHODNIOPOMORSKIE[]|Szczecin[]|Szczecin[]
A1202743|PL|31-543|Kraków|ul. płk Francesca  Nulla[Fr.Nullo]|19|6|MAŁOPOLSKIE|Kraków|Kraków
A1204754|PL|29-100[29-107]|Rogienice|[Rogienice]|67||ŚWIĘTOKRZYSKIE[MAŁOPOLSKIE]|włoszczowski[KRAKÓW]|Włoszczowa[KRAKÓW]
A1205147|PL|37-450|Stalowa Wola[STALOWA-WOLA]|ul. bł. ks. Jerzego Aleksandra Popiełuszki[ks.J.Popiełuszki]|12|7|PODKARPACKIE[MAŁOPOLSKIE]|stalowowolski[KRAKÓW]|Stalowa Wola[KRAKÓW]
A1205165|PL|38-400|Krosno|ul. Ignacego  Łukasiewicza[J.Łukasiewicza]|23|17|PODKARPACKIE[MAŁOPOLSKIE]|Krosno[KRAKÓW]|Krosno[KRAKÓW]
A1205297|PL|37-550|Radymno|os. króla Władysława II Jagiełły[oś.Wł.Jagiełły]|7|9|PODKARPACKIE[MAŁOPOLSKIE]|jarosławski[KRAKÓW]|Radymno[KRAKÓW]
A1205348|PL|38-400[38-401]|Krosno|ul. bł. ks. Jerzego Aleksandra Popiełuszki[ks.J.Popiełuszki]|81|26|PODKARPACKIE[MAŁOPOLSKIE]|Krosno[KRAKÓW]|Krosno[KRAKÓW]
A1205522|PL|32-590|Libiąż|ul. św. Barbary[Barbary]|7||MAŁOPOLSKIE|chrzanowski[KRAKÓW]|Libiąż[KRAKÓW]
A1205893|PL|32-104[32-103]|Czernichów[Czernichow]||36||MAŁOPOLSKIE|proszowicki[KRAKÓW]|Koniusza[KRAKÓW]
A1206846|PL|37-705[37-731]|Siedliska||115||PODKARPACKIE[MAŁOPOLSKIE]|przemyski[KRAKÓW]|Medyka[KRAKÓW]
A1206870|PL|31-543|Kraków|ul. płk Francesca  Nulla[Fr.Nullo]|13|28|MAŁOPOLSKIE|Kraków|Kraków
A1210643|PL|71-669[70-550]|Szczecin|ul. księżnej Anastazji[Ks.Anastazji]|11|7|ZACHODNIOPOMORSKIE[]|Szczecin[]|Szczecin[]
A1213303|PL|31-048|Kraków|ul. św. Gertrudy[Gertrudy]|12|2|MAŁOPOLSKIE|Kraków|Kraków
A1217933|PL|30-348[]|Kraków|ul. gen. Stefana  Roweckiego  Grota[S.Grota-Roweckiego]|23|30|MAŁOPOLSKIE|Kraków|Kraków
A1218960|PL|32-050|Skawina|ul. bł. ks. Jerzego Aleksandra Popiełuszki[KS.Popiełuszki]|6|62|MAŁOPOLSKIE|krakowski|Skawina
A1221105|PL|32-048|Jerzmanowice|ul. św. papieża Jana Pawła II[św.Jana Pawła II]|22||MAŁOPOLSKIE|krakowski|Jerzmanowice-Przeginia
A1221275|PL|37-300|Leżajsk|ul. braci Jędrzeja i Jana Śniadeckich[Br.Śniadeckich]|6|87|PODKARPACKIE[MAŁOPOLSKIE]|leżajski[KRAKÓW]|Leżajsk[KRAKÓW]
A1222017|PL|31-543|Kraków|ul. płk Francesca  Nulla[Fr.Nullo]|19|76|MAŁOPOLSKIE|Kraków|Kraków
A1222483|PL|31-543|Kraków|ul. płk Francesca  Nulla[Fr. Nullo]|10|24|MAŁOPOLSKIE|Kraków|Kraków
A1224283|PL|40-615|Katowice|ul. gen. Zygmunta  Jankego  Waltera[Gen.Z.W.Jankego]|13||ŚLĄSKIE[]|Katowice[]|Katowice[]
A1227583|PL|85-796[85-791]|Bydgoszcz|al. prof. Sylwestra  Kaliskiego[S.Kaliskiego]|7||KUJAWSKO-POMORSKIE[]|Bydgoszcz[]|Bydgoszcz[]
A1229315|PL|60-687[]|Poznań|os. Stefana  Batorego[Os.St.Batorego]|11c|23|WIELKOPOLSKIE[]|Poznań[]|Poznań[]
A1230194|PL|02-781|Warszawa|ul. płk Witolda  Pileckiego[rtm.Pileckiego]|112|5|MAZOWIECKIE[]|Warszawa[]|Warszawa[]
A1231094|PL|91-222|Łódź|ul. św. Teresy     od Dzieciątka Jezus[ul. Teresy od Dzieciątka Jezus]|105||ŁÓDZKIE|Łódź|Łódź
A1231775|PL|91-341|Łódź|ul. św. Teresy     od Dzieciątka Jezus[ul. Teresy od Dzieciątka Jezus]|91||ŁÓDZKIE|Łódź|Łódź
A1232469|PL|31-052|Kraków|ul. św. Wawrzyńca[Wawrzyńca]|38a|18|MAŁOPOLSKIE|Kraków|Kraków
A1237481|PL|32-040|Ochojno|ul. bł. ks. Jerzego Aleksandra Popiełuszki[Księdza Popiełuszki]|79||MAŁOPOLSKIE|krakowski|Świątniki Górne
A1237525|PL|32-410[32-411]|Niezdów||14||MAŁOPOLSKIE[]|myślenicki[]|Dobczyce[]
A1238648|PL|32-410[32-422]|Stadniki||123||MAŁOPOLSKIE[]|myślenicki[]|Dobczyce[]
A1239480|PL|32-050|Skawina|ul. płk Witolda  Pileckiego[Rtm. Witolda Pileckiego]|3||MAŁOPOLSKIE[]|krakowski[]|Skawina[]
A1240461|PL|31-519|Kraków|ul. ks. kap. hm. Ignacego Jana Skorupki[Ks.Skorupki]|30||MAŁOPOLSKIE|Kraków|Kraków
A1240762|PL|42-202[42-200]|Częstochowa|ul. bł. ks. kard. prym. Stefana  Wyszyńskiego[Ks.Kard.Wyszyńskiego]|70|126|ŚLĄSKIE[]|Częstochowa[]|Częstochowa[]
A1241611|PL|41-905|Bytom|ul. św. Elżbiety[Elżbiety]|7||ŚLĄSKIE[]|Bytom[]|Bytom[]
A1243519|PL|99-210[62-716]|Uniejów|ul. bł. Bogumiła[Bogumiła]|13||ŁÓDZKIE[]|poddębicki[]|Uniejów[]
A1244854|PL|42-580|Wojkowice|ul. Morcinka[G. Morcinka]|32||ŚLĄSKIE[]|będziński[]|Wojkowice[]
A1245241|PL|31-619|Kraków|ul. Teodora  Parnickiego[F.Parnickiego]|11|3|MAŁOPOLSKIE|Kraków|Kraków
A1245560|PL|!90-532[90-532]|Łódź|ul. ks. kap. hm. Ignacego Jana Skorupki[Ks.Skorupki]|21||ŁÓDZKIE[]|Łódź[]|Łódź[]
A1247226|PL|31-543|Kraków|ul. płk Francesca  Nulla[Fr.Nullo]|16|31|MAŁOPOLSKIE|Kraków|Kraków
A1247665|PL|01-595|Warszawa|ul. bł. ks. Jerzego Aleksandra Popiełuszki[Ks.Popiełuszki]|17b|2|MAZOWIECKIE[]|Warszawa[]|Warszawa[]
A1248638|PL|37-450|Stalowa Wola|ul. bł. ks. Jerzego Aleksandra Popiełuszki[Ks.J.Popiełuszki]|6|34|PODKARPACKIE|stalowowolski|Stalowa Wola
A1249008|PL|50-334|Wrocław|ul. Mikołaja Sępa Szarzyńskiego[ul. Sępa-Szarzyńskiego]|74|10|DOLNOŚLĄSKIE|Wrocław|Wrocław
A1249771|PL|67-200[]|Głogów|ul. gen. Władysława  Sikorskiego[Wł.Sikorskiego]|21||DOLNOŚLĄSKIE[]|głogowski[]|Głogów[]
A1251579|PL|50-334|Wrocław|ul. Mikołaja Sępa Szarzyńskiego[ul. Sępa-Szarzyńskiego]|70|7|DOLNOŚLĄSKIE|Wrocław|Wrocław
A1255264|PL|41-200|Sosnowiec|ul. gen. Władysława  Andersa[Gen.Wł.Andersa]|2F|96|ŚLĄSKIE|Sosnowiec|Sosnowiec
A1255719|PL|02-109|Warszawa|ul. księcia   Trojdena[Ks.Trojdena]|4||MAZOWIECKIE[]|Warszawa[]|Warszawa[]
A1256745|PL|31-543|Kraków|ul. płk Francesca  Nulla[FR. NULLO]|13|84|MAŁOPOLSKIE|Kraków|Kraków
A1257344|PL|31-543|Kraków|ul. płk Francesca  Nulla[Fr.Nullo]|20|10|MAŁOPOLSKIE|Kraków|Kraków
A1258000|PL|34-300|Żywiec|ul. ks. prał. Stanisława  Słonki[Ks.Pr.St.Słonki]|54||ŚLĄSKIE[]|żywiecki[]|Żywiec[]
A1260754|PL|41-219[44-221]|Sosnowiec|ul. Stefana  Kisielewskiego  Kisiela[S.Kisielewskiego]|1|99|ŚLĄSKIE|Sosnowiec|Sosnowiec
A1260837|PL|64-920|Piła|ul. Asnyka[A.Asnyka]|1b|2|WIELKOPOLSKIE|pilski|Piła
A1262196|PL|35-111|Rzeszów|ul. Stanisława  Wyspiańskiego[St.Wyspiańskiego]|37|82|PODKARPACKIE|Rzeszów|Rzeszów
A1262791|PL|01-318|Warszawa|ul. Stanisława  Szobera[S.Szobera]|2|47|MAZOWIECKIE|Warszawa|Warszawa[BEMOWO]
A1262847|PL|34-730[34-732]|Olszówka|[Olszówka]|14||MAŁOPOLSKIE|limanowski|Mszana Dolna[LIMANOWA]
A1265249|PL|35-502|Rzeszów|ul. Stanisława  Furtaka[St. Furtaka]|14||PODKARPACKIE|Rzeszów|Rzeszów
A1265500|PL|32-300|Olkusz|ul. płk Francesca  Nulla[Fr.Nullo]|23|7|MAŁOPOLSKIE[]|olkuski[]|Olkusz[]
A1265796|PL|30-147|Kraków|ul. płk Witolda  Pileckiego[rtm.Pileckiego]|6||MAŁOPOLSKIE|Kraków|Kraków
A1266183|PL|32-410|Dobczyce|ul. królowej Kingi[Kingi]|6||MAŁOPOLSKIE|myślenicki|Dobczyce[MYŚLENICE]
A1266361|PL|33-300|Nowy Sącz|ul. św. Kunegundy[Kunegundy]|47|12|MAŁOPOLSKIE|Nowy Sącz|Nowy Sącz
A1268441|PL|35-118[35-125]|Rzeszów|ul. Ignacego  Solarza[J.Solarza]|22|28|PODKARPACKIE|Rzeszów|Rzeszów
A1271903|PL|31-530|Kraków|ul. św. Łazarza[Łazarza]|7a||MAŁOPOLSKIE|Kraków|Kraków
A1272178|PL|60-687|Poznań|os. Stefana  Batorego[Os.St.Batorego]|13|33|WIELKOPOLSKIE|Poznań|Poznań
A1272635|PL|41-412|Mysłowice|ul. Franciszka  Kawy[Fr.Kawy]|6|9|ŚLĄSKIE|Mysłowice|Mysłowice
A1272673|PL|44-100|Gliwice|ul. św. Bronisławy[Bronisławy]|3|9|ŚLĄSKIE[]|Gliwice[]|Gliwice[]
A1272892|PL|31-514[]|Kraków|al. płk Władysława  Beliny Prażmowskiego[Al.Płk.B.Prażmowskiego]|29||MAŁOPOLSKIE|Kraków|Kraków
A1274584|PL|31-060|Kraków|ul. św. Wawrzyńca[Wawrzyńca]|11|2|MAŁOPOLSKIE|Kraków|Kraków
A1275812|PL|31-135|Kraków|ul. Stefana  Batorego[S.Batorego]|15a|10|MAŁOPOLSKIE|Kraków|Kraków
A1276204|PL|87-100|Toruń|ul. bł. ks. Jerzego Aleksandra Popiełuszki[Ks.Popiełuszki]|2||KUJAWSKO-POMORSKIE[]|Toruń[]|Toruń[]
A1277447|PL|30-053|Kraków|ul. kronikarza Galla  Anonima[Galla]|2|11|MAŁOPOLSKIE|Kraków|Kraków
A1278108|PL|37-450|Stalowa Wola|ul. Stanisławy  Koper[St.Koper]|2|22|PODKARPACKIE[]|stalowowolski[]|Stalowa Wola[]
A1278953|PL|31-709|Kraków|ul. króla Stanisława Augusta Poniatowskiego[St.A.Poniatowskiego]|38a||MAŁOPOLSKIE|Kraków|Kraków
A1279134|PL|35-119[35-114]|Rzeszów|ul. Wiktora  Zbyszewskiego[Wiktora]|33||PODKARPACKIE|Rzeszów|Rzeszów
A1279530|PL|43-600[32-510]|Jaworzno|ul. Stanisławy i Franciszka Mazur[S.F.Mazur]|1F|81|ŚLĄSKIE|Jaworzno|Jaworzno
A1279702|PL|32-566[32-556]|Regulice||88||MAŁOPOLSKIE[]|chrzanowski[]|Alwernia[]
A1279711|PL|30-688[50-307]|Kraków|ul. bł. ks. kard. prym. Stefana  Wyszyńskiego[Kardynała Wyszyńskiego]|110||MAŁOPOLSKIE|Kraków|Kraków
A1279766|PL|32-566[32-556]|Regulice||414||MAŁOPOLSKIE[]|chrzanowski[]|Alwernia[]
A1280063|PL|34-730|Mszana Dolna|ul. Józefa  Marka[inż. J. Marka]|1||MAŁOPOLSKIE[]|limanowski[]|Mszana Dolna[]
A1280739|PL|60-687|Poznań|os. Stefana  Batorego[Oś.St.Batorego]|43|42|WIELKOPOLSKIE|Poznań|Poznań
A1281246|PL|28-236[28-238]|Kłoda||8||ŚWIĘTOKRZYSKIE[]|staszowski[]|Rytwiany[]
A1281379|PL|26-006[26-007]|Włochy||23||ŚWIĘTOKRZYSKIE[]|kielecki[]|Nowa Słupia[]
A1282076|PL|02-936|Warszawa|ul. św. Bonifacego[Bonifacego]|74|51|MAZOWIECKIE|Warszawa[]|Warszawa[]
A1283994|PL|44-200|Rybnik|ul. ks. dr   Brudnioka[Ks.Brudnioka]|4||ŚLĄSKIE[]|Rybnik[]|Rybnik[]
A1286221|PL|31-519|Kraków|ul. ks. kap. hm. Ignacego Jana Skorupki[Ks.Skorupki]|14||MAŁOPOLSKIE|Kraków|Kraków
A1286317|PL|30-320|Kraków|ul. ks. Stefana  Pawlickiego[ul.Ks.St.Pawlickiego]|1||MAŁOPOLSKIE|Kraków|Kraków
A1287769|PL|37-450|Stalowa Wola|ul. bł. ks. Jerzego Aleksandra Popiełuszki[Ks.Popiełuszki]|28|12|PODKARPACKIE|stalowowolski|Stalowa Wola
A1287787|PL|37-450|Stalowa Wola|ul. bł. ks. Jerzego Aleksandra Popiełuszki[KS.POPIEŁUSZKI]|17a|60|PODKARPACKIE|stalowowolski|Stalowa Wola
A1288164|PL|30-532|Kraków|ul. Dąbrowskiego[Gen.Henryka Dąbrowskiego]|24||MAŁOPOLSKIE|Kraków|Kraków
A1288494|PL|83-200|Starogard Gdański|ul. ks. bp Konstantyna  Dominika[ul.Biskupa Dominika]|24||POMORSKIE|starogardzki|Starogard Gdański
A1289597|PL|02-790|Warszawa|ul. Mariana  Sengera  Cichego[J.Sengera Cichego]|11|10|MAZOWIECKIE|Warszawa[]|Warszawa[URSYNÓW]
A1290137|PL|37-700|Przemyśl|wyb. św. papieża Jana Pawła II[Wybrzeże Ojca Świętego Jana Pawła II]|76|3|PODKARPACKIE|Przemyśl|Przemyśl
A1290283|PL|30-864|Kraków|ul. ks. prał. Mariana  Łaczka[Ks.Łaczka]|4||MAŁOPOLSKIE|Kraków|Kraków
A1290572|PL|30-397|Kraków|ul. ks. o. Jakuba  Wujka[Księdza Wujka]|49||MAŁOPOLSKIE|Kraków|Kraków
A1291754|PL|31-423[31-422]|Kraków|ul. Józefa  Łepkowskiego[l.Łepkowskiego]|8|10|MAŁOPOLSKIE|Kraków|Kraków
A1292125|PL|08-400|Garwolin|ul. bł. ks. kard. prym. Stefana  Wyszyńskiego[Kardynała Wyszyńskiego]|106||MAZOWIECKIE[]|garwoliński[]|Garwolin[]
A1293134|PL|32-415[32-413]|Zegartowice||11||MAŁOPOLSKIE[]|myślenicki[]|Raciechowice[]
A1293138|PL|31-543|Kraków|ul. płk Francesca  Nulla[Fr.Nullo]|15|75|MAŁOPOLSKIE|Kraków|Kraków
A1293515|PL|31-543|Kraków|ul. płk Francesca  Nulla[Fr.Nullo]|18|21|MAŁOPOLSKIE|Kraków|Kraków
A1293630|PL|31-543|Kraków|ul. płk Francesca  Nulla[FR. Nullo]|18|12|MAŁOPOLSKIE|Kraków|Kraków
A1293691|PL|38-400|Krosno|ul. bł. ks. kard. prym. Stefana  Wyszyńskiego[Kard. Wyszyńskiego]|117||PODKARPACKIE[]|Krosno[]|Krosno[]
A1293707|PL|38-400|Krosno|ul. Stefana  Batorego[S. Batorego]|3|20|PODKARPACKIE[]|Krosno[]|Krosno[]
A1294510|PL|32-050|Skawina|ul. bł. ks. Jerzego Aleksandra Popiełuszki[Ks. Popiełuszki]|6|38|MAŁOPOLSKIE|krakowski|Skawina
A1295708|PL|31-519|Kraków|ul. ks. kap. hm. Ignacego Jana Skorupki[Ks.Skorupki]|13|10|MAŁOPOLSKIE|Kraków|Kraków
A1296200|PL|40-389|Katowice|ul. ks. mjr Karola  Woźniaka[mjr K. Woźniaka]|5||ŚLĄSKIE[]|Katowice[]|Katowice[]
A1296821|PL|32-005[32-004]|Zagórze||118||MAŁOPOLSKIE|wielicki|Niepołomice[WIELICZKA]
A1296903|PL|30-053|Kraków|ul. kronikarza Galla  Anonima[Kronikarza Galla]|4|12A|MAŁOPOLSKIE|Kraków|Kraków
A1297675|PL|37-100|Łańcut|ul. bł. ks. kard. prym. Stefana  Wyszyńskiego[Kard.Wyszyńskiego]|49|2|PODKARPACKIE|łańcucki|Łańcut
A1298406|PL|31-539|Kraków|ul. hetm. Stanisława  Żółkiewskiego[St.Żółkiewskiego]|17||MAŁOPOLSKIE|Kraków|Kraków
A1298555|PL|32-050|Skawina|ul. Aleksandra  Głowackiego[B.Głowackiego]|10B||MAŁOPOLSKIE[]|krakowski[]|Skawina[]
A1299447|PL|32-566[32-556]|Grojec[GRÓJEC]||130||MAŁOPOLSKIE[]|chrzanowski[]|Alwernia[]
A1299449|PL|32-566[32-556]|Regulice||403||MAŁOPOLSKIE[]|chrzanowski[]|Alwernia[]
A1299455|PL|32-566[32-556]|Regulice||375||MAŁOPOLSKIE[]|chrzanowski[]|Alwernia[]
A1299457|PL|32-566[32-556]|Regulice||192||MAŁOPOLSKIE[]|chrzanowski[]|Alwernia[]
A1299476|PL|32-566[32-556]|Regulice||144||MAŁOPOLSKIE[]|chrzanowski[]|Alwernia[]
A1299888|PL|41-300|Dąbrowa Górnicza|ul. Poniatowskiego[ul. Józefa Poniatowskiego]|15|51|ŚLĄSKIE|Dąbrowa Górnicza|Dąbrowa Górnicza
A130|PL|30-053|Kraków|ul. kronikarza Galla  Anonima[Kronikarza Galla]|17|7|MAŁOPOLSKIE|Kraków|Kraków
A1302543|PL|31-543|Kraków|ul. płk Francesca  Nulla[Fr.Nullo]|13|79|MAŁOPOLSKIE|Kraków|Kraków
A1302751|PL|05-500|Piaseczno|ul. Okulickiego[Generała Okulickiego]|7/9||MAZOWIECKIE|piaseczyński[]|Piaseczno[]
A1302797|PL|32-082|Bolechowice|park im. św. papieża Jana Pawła II[park Św. Jana Pawła II]|64||MAŁOPOLSKIE|krakowski|Zabierzów
A1302870|PL|32-083|Balice|ul. Stanisława  Kmity[St.Kmity]|35||MAŁOPOLSKIE[]|krakowski[]|Zabierzów[]
A1303602|PL|30-053[]|Kraków|ul. kronikarza Galla  Anonima[Galla]|2|12|MAŁOPOLSKIE|Kraków|Kraków
A1304353|PL|30-528|Kraków|ul. św. Kingi[KINGI]|8|26|MAŁOPOLSKIE|Kraków|Kraków
A1304785|PL|02-685|Warszawa|ul. prof. Stefana  Bryły[St.Bryły]|3|499|MAZOWIECKIE|Warszawa[]|Warszawa[]
A1305060|PL|32-415[32-413]|Zegartowice||104||MAŁOPOLSKIE[]|myślenicki[]|Raciechowice[]
A1305061|PL|32-566[32-556]|Regulice||417||MAŁOPOLSKIE[]|chrzanowski[]|Alwernia[]
A1306725|PL|37-450|Stalowa Wola|ul. bł. ks. Jerzego Aleksandra Popiełuszki[Ks.Popiełuszki]|17||PODKARPACKIE|stalowowolski[]|Stalowa Wola[]
A1307069|PL|32-566[32-556]|Regulice||209||MAŁOPOLSKIE[]|chrzanowski[]|Alwernia[]
A1307189|PL|30-147|Kraków|ul. płk Witolda  Pileckiego[Rtm.Pileckiego]|14||MAŁOPOLSKIE|Kraków|Kraków
A1307686|PL|41-300|Dąbrowa Górnicza|ul. Poniatowskiego[ul. Józefa Poniatowskiego]|11|52|ŚLĄSKIE|Dąbrowa Górnicza|Dąbrowa Górnicza
A1309444|PL|43-354[34-314]|Czaniec|ul. kard. Karola  Wojtyły[K.K.Wojtyły]|41||ŚLĄSKIE[]|bielski[]|Porąbka[]
A1309735|PL|44-300|Wodzisław Śląski[WODZIAŁAW SLĄSKI]|ul. Pawła  Pośpiecha[ks.Pośpiecha]|4||ŚLĄSKIE|wodzisławski[]|Wodzisław Śląski[]
A1310100|PL|00-182|Warszawa|ul. Stanisława  Dubois[St. Dubois]|9||MAZOWIECKIE[]|Warszawa[]|Warszawa[]
A1310815|PL|31-519|Kraków|ul. ks. kap. hm. Ignacego Jana Skorupki[Ks.Skorupki]|26||MAŁOPOLSKIE|Kraków|Kraków
A1311066|PL|39-100|Ropczyce|ul. Seweryna  Udzieli[S.Udzieli]|2|15|PODKARPACKIE[]|ropczycko-sędziszowski[]|Ropczyce[]
A1311105|PL|32-048|Jerzmanowice|ul. św. papieża Jana Pawła II[św.Jana Pawła II]|55||MAŁOPOLSKIE|krakowski|Jerzmanowice-Przeginia
A1312624|PL|30-010|Kraków|ul. Antoniego  Augustynka Wichury[ul. Augustynka-Wichury]|14|40|MAŁOPOLSKIE|Kraków|Kraków
A1312992|PL|31-409[31-049]|Kraków|ul. Jana  Woronicza[J.P.Woronicza]|16|1|MAŁOPOLSKIE|Kraków|Kraków
A1313973|PL|32-040|Świątniki Górne|ul. ks. Stanisława  Koniecznego[Ks.St.Koniecznego]|11||MAŁOPOLSKIE[]|krakowski[]|Świątniki Górne[]
A1316163|PL|32-500|Luszowice|ul. Stanisława  Przybyszewskiego[St. Przybyszewskiego]|92||MAŁOPOLSKIE[]|chrzanowski[]|Chrzanów[]
A1318594|PL|31-519|Kraków|ul. ks. kap. hm. Ignacego Jana Skorupki[Ks.Skorupki]|10|1|MAŁOPOLSKIE|Kraków|Kraków
A1318686|PL|32-050|Skawina|ul. bł. ks. Jerzego Aleksandra Popiełuszki[Ks.Popiełuszki]|7||MAŁOPOLSKIE[]|krakowski[]|Skawina[]
A1319085|PL|32-100[32-123]|Przezwody||13||MAŁOPOLSKIE|proszowicki|Proszowice
A1319661|PL|31-530|Kraków|ul. św. Łazarza[Łazarza]|14||MAŁOPOLSKIE|Kraków|Kraków
A1319985|PL|32-090[32-094]|Zaborze||23||MAŁOPOLSKIE[]|krakowski[]|Słomniki[]
