ID|Komunikat|Kod_Źródło|Kod_Wynik|Miasto_Źródło|Miasto_Wynik|Ulica_Źródło|Ulica_Wynik|Budynek_Źródło|Budynek_Wynik|Lokal_Źródło|Lokal_Wynik|Wojewodztwo_Źródło|Wojewodztwo_Wynik|Powiat_Źródło|Powiat_Wynik|Gmina_Źródło|Gmina_Wynik
A1177886|Błędna nazwa ulicy '-'|32-045|32-045|*SUŁOSZOWA 264|Sułoszowa|*|-|||||*ŁÓDZKIE|MAŁOPOLSKIE|*WIELUŃSKI|krakowski|*WIERZCHLAS|Sułoszowa
A29275|Błędna nazwa ulicy '-'|32-002|32-002|*WEGRZCE WIELKIE|Węgrzce Wielkie|*|-|||||*ŁÓDZKIE|MAŁOPOLSKIE|*WIELUŃSKI|wielicki|*WIERZCHLAS|Wieliczka
A39756|Błędna nazwa ulicy '-'|49-156|49-156|GRACZE|Gracze|*|-|||||*ŁÓDZKIE|OPOLSKIE|*WIELUŃSKI|opolski|*WIERZCHLAS|Niemodlin
A1177041|Błędna nazwa ulicy '-'|||KRAKÓW|Kraków|*|-|||||*ŁÓDZKIE|MAŁOPOLSKIE|*WIELUŃSKI|Kraków|*WIERZCHLAS|Kraków
A1188882|Błędna nazwa ulicy '-'|||KRAKÓW|Kraków|*|-|||||*ŁÓDZKIE|MAŁOPOLSKIE|*WIELUŃSKI|Kraków|*WIERZCHLAS|Kraków
A41185|Błędna nazwa ulicy '-'|10-523|10-523|WARSZAWA|Warszawa|*|-|||||*ŁÓDZKIE|MAZOWIECKIE|*|Warszawa|*|Warszawa
A30748|Błędna nazwa ulicy '-'|||KRAKÓW|Kraków|*|-|||||*ŁÓDZKIE|MAŁOPOLSKIE|*WIELUŃSKI|Kraków|*WIERZCHLAS|Kraków
A30780|Błędna nazwa ulicy '-'|||*KRAKOW|Kraków|*|-|||||*ŁÓDZKIE|MAŁOPOLSKIE|*WIELUŃSKI|Kraków|*WIERZCHLAS|Kraków
A29029|Błędna nazwa ulicy '-'|||WARSZAWA|Warszawa|*|-|||||*ŁÓDZKIE|MAZOWIECKIE|*WIELUŃSKI|Warszawa|*WIERZCHLAS|Warszawa
A1187364|Błędna nazwa ulicy '-'|39-402|39-402|TARNOBRZEG|Tarnobrzeg|*|-|||||*ŁÓDZKIE|PODKARPACKIE|*WIELUŃSKI|Tarnobrzeg|*WIERZCHLAS|Tarnobrzeg
A32431|Błędna nazwa ulicy '-'|00-901|00-901|WARSZAWA|Warszawa|*|-|||||*ŁÓDZKIE|MAZOWIECKIE|*|Warszawa|*|Warszawa
A32540|Błędna nazwa ulicy '-'|98-355|98-355|DZIAŁOSZYN|Działoszyn|*|-|||||ŁÓDZKIE|ŁÓDZKIE|*WIELUŃSKI|pajęczański|*WIERZCHLAS|Działoszyn
A1173973|Błędna nazwa ulicy '-'|28-407|28-407|GACKI|Gacki|*|-|||||*ŁÓDZKIE|KUJAWSKO-POMORSKIE|*WIELUŃSKI|świecki|*WIERZCHLAS|Drzycim
A1173975|Błędna nazwa ulicy '-'|||*BRUKSELA|Bruk|*|-|||||*ŁÓDZKIE|POMORSKIE|*WIELUŃSKI|sztumski|*WIERZCHLAS|Dzierzgoń
A1174053|Błędna nazwa ulicy '-'|||*ANGLIA|Jeglia|*|-|||||*ŁÓDZKIE|WARMIŃSKO-MAZURSKIE|*WIELUŃSKI|działdowski|*WIERZCHLAS|Rybno
A1230224|Błędna nazwa ulicy '-'|||LUBIN|Lubin|*|-|||||*|DOLNOŚLĄSKIE|*|lubiński|*|Lubin
A1172859|Błędna nazwa ulicy '-'|||KRAKÓW|Kraków|*|-|||||*ŁÓDZKIE|MAŁOPOLSKIE|*WIELUŃSKI|Kraków|*WIERZCHLAS|Kraków
A1180540|Błędna nazwa ulicy '-'|||*KRAKOW|Kraków|*|-|||||*ŁÓDZKIE|MAŁOPOLSKIE|*WIELUŃSKI|Kraków|*WIERZCHLAS|Kraków
A1194219|Błędna nazwa ulicy '-'|||*WLOCHY|Blochy|*|-|||||*ŁÓDZKIE|MAZOWIECKIE|*WIELUŃSKI|wyszkowski|*WIERZCHLAS|Długosiodło
A1196479|Błędna nazwa ulicy '-'|||*WLK.BRYTANIA|W Ogrodach|*|-|||||*ŁÓDZKIE|ŚWIĘTOKRZYSKIE|*WIELUŃSKI|staszowski|*WIERZCHLAS|Łubnice
A1211342|Błędna nazwa ulicy '-'|||BUKOWINA TATRZAŃSKA|Bukowina Tatrzańska|*|-|||||*|MAŁOPOLSKIE|*|tatrzański|*|Bukowina Tatrzańska
A1212092|Błędna nazwa ulicy '-'|||*WLK.BRYTANIA|W Ogrodach|*|-|||||*|ŚWIĘTOKRZYSKIE|*|staszowski|*|Łubnice
A1212298|Błędna nazwa ulicy '-'|||WROCŁAW|Wrocław|*|-|||||*|DOLNOŚLĄSKIE|*|Wrocław|*|Wrocław
A1221204|Błędna nazwa ulicy '-'|||TARNÓW|Tarnów|*|-|||||*|MAŁOPOLSKIE|*|Tarnów|*|Tarnów
A1223178|Błędna nazwa ulicy '-'|||WARSZAWA|Warszawa|*|-|||||*|MAZOWIECKIE|*|Warszawa|*|Warszawa
A1223326|Błędna nazwa ulicy '-'|||KROSNO|Krosno|*|-|||||*|PODKARPACKIE|*|Krosno|*|Krosno
A1223549|Błędna nazwa ulicy '-'|||GLIWICE|Gliwice|*|-|||||*|ŚLĄSKIE|*|Gliwice|*|Gliwice
A1230487|Błędna nazwa ulicy '-'|||WARSZAWA|Warszawa|*|-|||||*|MAZOWIECKIE|*|Warszawa|*|Warszawa
A1228877|Błędna nazwa ulicy '-'|||SZCZECIN|Szczecin|*|-|||||*|ZACHODNIOPOMORSKIE|*|Szczecin|*|Szczecin
A1180658|Błędna nazwa ulicy '-'|44-100|44-100|GLIWICE|Gliwice|*|-|||||*ŁÓDZKIE|ŚLĄSKIE|*WIELUŃSKI|Gliwice|*WIERZCHLAS|Gliwice
A1180699|Błędna nazwa ulicy '-'|||SANDOMIERZ|Sandomierz|*|-|||||*ŁÓDZKIE|ŚWIĘTOKRZYSKIE|*WIELUŃSKI|sandomierski|*WIERZCHLAS|Sandomierz
A1192400|Błędna nazwa ulicy '-'|32-002|32-002|*WĘGRZCE WIELKIE 138|Węgrzce Wielkie|*|-|||||*ŁÓDZKIE|MAŁOPOLSKIE|*WIELUŃSKI|wielicki|*WIERZCHLAS|Wieliczka
A1181872|Błędna nazwa ulicy '-'|32-447|32-447|SIEPRAW|Siepraw|*|-|||||*ŁÓDZKIE|MAŁOPOLSKIE|*|myślenicki|*|Siepraw
A1254556|Błędna nazwa ulicy '-'|||POZNAŃ|Poznań|*|-|||||*|WIELKOPOLSKIE|*|Poznań|*|Poznań
A1195600|Błędna nazwa ulicy '-l.'|32-031|32-031|*MOGILANY 12|Mogilany|*|-l.|||||*ŁÓDZKIE|MAŁOPOLSKIE|*WIELUŃSKI|krakowski|*WIERZCHLAS|Mogilany
A8637|Błędna nazwa ulicy '.Janickiego'|31-443|31-443|KRAKÓW|Kraków|*|.Janickiego|6|6|80|80|MAŁOPOLSKIE|MAŁOPOLSKIE|KRAKÓW|Kraków|KRAKÓW|Kraków
A1353418|Błędna nazwa ulicy '24 Stycznia'|32-540|32-540|TRZEBINIA|Trzebinia|*|24 Stycznia|18|18|||*|MAŁOPOLSKIE|*|chrzanowski|*|Trzebinia
A1351732|Błędna nazwa ulicy '66'|32-020|32-020|JAWCZYCE|Jawczyce|*|66|100|100|||MAŁOPOLSKIE|MAŁOPOLSKIE|*|wielicki|*|Biskupice
A1348561|Błędna nazwa ulicy 'aderewskiego'|33-100|33-100|TARNÓW|Tarnów|*|aderewskiego|3A|3A|8|8|*|MAŁOPOLSKIE|*|Tarnów|*|Tarnów
A1348645|Błędna nazwa ulicy 'aderewskiego'|33-300|33-300|NOWY SĄCZ|Nowy Sącz|*|aderewskiego|52|52|6|6|*|MAŁOPOLSKIE|*|Nowy Sącz|*|Nowy Sącz
A1350720|Błędna nazwa ulicy 'Al. Jana Pawla II'|64-920|64-920|PIŁA|Piła|*|Al. Jana Pawla II|2|2|9|9|*|WIELKOPOLSKIE|*|pilski|*|Piła
A1348773|Błędna nazwa ulicy 'Al.. Ducha Św,'|39-300|39-300|MIELEC|Mielec|*|Al.. Ducha Św,|25|25|15|15|*|PODKARPACKIE|*|mielecki|*|Mielec
A1348770|Błędna nazwa ulicy 'Al.. Ducha Św.'|39-300|39-300|MIELEC|Mielec|*|Al.. Ducha Św.|38|38|3|3|*|PODKARPACKIE|*|mielecki|*|Mielec
A1349620|Błędna nazwa ulicy 'Al.. Ducha'|39-300|39-300|*MIELEC AL.. DUCHA 38/3|Mielec|*|Al.. Ducha|38|38|3|3|PODKARPACKIE|PODKARPACKIE|*|mielecki|*|Mielec
A40537|Błędna nazwa ulicy 'al.3 Maja'|30-062|30-062|*KRAKOW|Kraków|*|al.3 Maja|9|9|106|106|*ŁÓDZKIE|MAŁOPOLSKIE|*WIELUŃSKI|Kraków|*WIERZCHLAS|Kraków
A1187543|Błędna nazwa ulicy 'Al.3 Maja'|30-063|30-063|KRAKÓW|Kraków|*|Al.3 Maja|7|7|||*ŁÓDZKIE|MAŁOPOLSKIE|*WIELUŃSKI|Kraków|*WIERZCHLAS|Kraków
A21874|Błędna nazwa ulicy 'Al.3 Maja'|00-391|00-391|WARSZAWA|Warszawa|*|Al.3 Maja|2|2|||MAZOWIECKIE|MAZOWIECKIE|*|Warszawa|*|Warszawa
A1182315|Błędna nazwa ulicy 'Al.3 Maja'|||KRAKÓW|Kraków|*|Al.3 Maja|5|5|||*ŁÓDZKIE|MAŁOPOLSKIE|*WIELUŃSKI|Kraków|*WIERZCHLAS|Kraków
A1347280|Błędna nazwa ulicy 'Al.3-Maja'|00-391|00-391|WARSZAWA|Warszawa|*|Al.3-Maja|12|12|||*|MAZOWIECKIE|*|Warszawa|*|Warszawa
A1353364|Błędna nazwa ulicy 'Al.Ducha Św.'|39-300|39-300|MIELEC|Mielec|*|Al.Ducha Św.|17|17|46|46|*|PODKARPACKIE|*|mielecki|*|Mielec
A12688|Błędna nazwa ulicy 'Al.Jana Pawla II'|30-969|30-969|KRAKÓW|Kraków|*|Al.Jana Pawla II|196|196|||*ŁÓDZKIE|MAŁOPOLSKIE|*WIELUŃSKI|Kraków|*WIERZCHLAS|Kraków
A8895|Błędna nazwa ulicy 'al.Niepodleglosci'|39-400|39-400|Tarnobrzeg|Tarnobrzeg|*|al.Niepodleglosci|3|3|1|1|*ŁÓDZKIE|PODKARPACKIE|*WIELUŃSKI|Tarnobrzeg|*WIERZCHLAS|Tarnobrzeg
A1351149|Błędna nazwa ulicy 'Aleja Jan Pawła II'|37-450|37-450|STALOWA WOLA|Stalowa Wola|*|Aleja Jan Pawła II|17|17|27|27|PODKARPACKIE|PODKARPACKIE|*|stalowowolski|*|Stalowa Wola
A1212185|Błędna nazwa ulicy 'Aleje 29 Listopada'|31-425|31-425|KRAKÓW|Kraków|*|Aleje 29 Listopada|41A|41A|21|21|MAŁOPOLSKIE|MAŁOPOLSKIE|KRAKÓW|Kraków|KRAKÓW|Kraków
A1353535|Błędna nazwa ulicy 'Aleksandrowice'|32-084|32-084|MORAWICA|Morawica|*|Aleksandrowice|80|80|||*|MAŁOPOLSKIE|*|krakowski|*|Liszki
A1523|Błędna nazwa ulicy 'Arcybiskupa Z.S. Felińskiego'|31-236|31-236|KRAKÓW|Kraków|*|Arcybiskupa Z.S. Felińskiego|25|25|29|29|MAŁOPOLSKIE|MAŁOPOLSKIE|KRAKÓW|Kraków|KRAKÓW|Kraków
A1185793|Błędna nazwa ulicy 'Arnii Krajowej'|30-150|30-150|KRAKÓW|Kraków|*|Arnii Krajowej|2|2|39|39|*ŁÓDZKIE|MAŁOPOLSKIE|*WIELUŃSKI|Kraków|*WIERZCHLAS|Kraków
A1346487|Błędna nazwa ulicy 'avenue one'|||*ANGLIA|Jeglia|*|avenue one|31A|31A|||*|WARMIŃSKO-MAZURSKIE|*|działdowski|*|Rybno
A1352636|Błędna nazwa ulicy 'B.A. Konstanty'|33-300|33-300|NOWY SĄCZ|Nowy Sącz|*|B.A. Konstanty|14|14|20|20|*|MAŁOPOLSKIE|*|Nowy Sącz|*|Nowy Sącz
A1350698|Błędna nazwa ulicy 'Baczków'|32-708|32-708|DZIEWIN|Dziewin|*|Baczków|52|52|||*|MAŁOPOLSKIE|*|bocheński|*|Drwinia
A1350967|Błędna nazwa ulicy 'Baczków'|32-708|32-708|DZIEWIN|Dziewin|*|Baczków|192|192|||*|MAŁOPOLSKIE|*|bocheński|*|Drwinia
A1351756|Błędna nazwa ulicy 'Baczyńskieggo'|42-224|42-224|CZĘSTOCHOWA|Częstochowa|*|Baczyńskieggo|4|4|99|99|*ŚWIĘTOKRZYSKIE|ŚLĄSKIE|*|Częstochowa|*|Częstochowa
A8697|Błędna nazwa ulicy 'Baluckiego'|31-546|31-546|KRAKÓW|Kraków|*|Baluckiego|5b|5b|13|13|MAŁOPOLSKIE|MAŁOPOLSKIE|KRAKÓW|Kraków|KRAKÓW|Kraków
A29665|Błędna nazwa ulicy 'Bandkiego'|30-129|30-129|*KRAKOW|Kraków|*|Bandkiego|19|19|||*ŁÓDZKIE|MAŁOPOLSKIE|*WIELUŃSKI|Kraków|*WIERZCHLAS|Kraków
A1218435|Błędna nazwa ulicy 'Bartnicza 12 A'|31-988|31-988|*KRAKOW|Kraków|*|Bartnicza 12 A|||||MAŁOPOLSKIE|MAŁOPOLSKIE|KRAKÓW|Kraków|KRAKÓW|Kraków
A1351783|Błędna nazwa ulicy 'Batalionów Chłopskic'|27-500|27-500|OPATÓW|Opatów|*|Batalionów Chłopskic|45|45|||ŚWIĘTOKRZYSKIE|ŚWIĘTOKRZYSKIE|*|opatowski|*|Opatów
A1353155|Błędna nazwa ulicy 'Batalionów Chłopskic'|32-020|32-020|WIELICZKA|Wieliczka|*|Batalionów Chłopskic|14|14|||*|MAŁOPOLSKIE|*|wielicki|*|Wieliczka
A1189300|Błędna nazwa ulicy 'Batalionu Skala AK'|31-273|31-273|*KRAKOW|Kraków|*|Batalionu Skala AK|8|8|61|61|*ŁÓDZKIE|MAŁOPOLSKIE|*WIELUŃSKI|Kraków|*WIERZCHLAS|Kraków
A1357315|Błędna nazwa ulicy 'Bąbkowa'|05-800|05-800|PRUSZKÓW|Pruszków|*|Bąbkowa|34|34|||*|MAZOWIECKIE|*|pruszkowski|*|Pruszków
A1349613|Błędna nazwa ulicy 'Bebelno Kolonia'|29-100|29-100|*WŁOSZCZOWA BEBELNO KOLO|Włoszczowa|*|Bebelno Kolonia|79|79|||ŚWIĘTOKRZYSKIE|ŚWIĘTOKRZYSKIE|*|włoszczowski|*|Włoszczowa
A953|Błędna nazwa ulicy 'Beliny Prażmowskiego'|31-514|31-514|KRAKÓW|Kraków|*|Beliny Prażmowskiego|52|52|1|1|MAŁOPOLSKIE|MAŁOPOLSKIE|KRAKÓW|Kraków|KRAKÓW|Kraków
ZA953|Błędna nazwa ulicy 'Beliny Prażmowskiego'|31-514|31-514|KRAKÓW|Kraków|*|Beliny Prażmowskiego|52|52|1|1|MAŁOPOLSKIE|MAŁOPOLSKIE|KRAKÓW|Kraków|KRAKÓW|Kraków
A9377|Błędna nazwa ulicy 'Bialy Kosciol'|32-089|32-089|*Krakow|Kraków|*|Bialy Kosciol|42|42|||*ŁÓDZKIE|MAŁOPOLSKIE|*WIELUŃSKI|Kraków|*WIERZCHLAS|Kraków
A1190663|Błędna nazwa ulicy 'Bialy'|34-450|34-450|*KROSCIENKO|Krościenko|*|Bialy|Potok13|Potok13|||*ŁÓDZKIE|PODKARPACKIE|*WIELUŃSKI|bieszczadzki|*WIERZCHLAS|Ustrzyki Dolne
A1190374|Błędna nazwa ulicy 'Bibice'|32-086|32-086|*WEGRZCE|Węgrzce|*|Bibice|309|309|||*ŁÓDZKIE|MAŁOPOLSKIE|*WIELUŃSKI|krakowski|*WIERZCHLAS|Zielonki
A1348659|Błędna nazwa ulicy 'Bieńkowce'|32-709|32-709|*DRWINA|Drwinia|*|Bieńkowce|||||*|MAŁOPOLSKIE|*|bocheński|*|Drwinia
A7449|Błędna nazwa ulicy 'Biskupa Tomickiego'|31-982|31-982|KRAKÓW|Kraków|*|Biskupa Tomickiego|17|17|77|77|MAŁOPOLSKIE|MAŁOPOLSKIE|KRAKÓW|Kraków|KRAKÓW|Kraków
A1205861|Błędna nazwa ulicy 'Biskupice Radlowskie'|33-130|33-130|*RADLOW|Radłów|*|Biskupice Radlowskie|72|72|||MAŁOPOLSKIE|MAŁOPOLSKIE|*KRAKÓW|tarnowski|*KRAKÓW|Radłów
A1349474|Błędna nazwa ulicy 'Biskupice Radłowskie Bat. Chło'|33-130|33-130|*RADŁÓW BISKUPICE RADŁOW|Radłów|*|Biskupice Radłowskie Bat. Chło|||||MAŁOPOLSKIE|MAŁOPOLSKIE|*|tarnowski|*|Radłów
A1349490|Błędna nazwa ulicy 'Biskupice'|32-095|32-095|*IWANOWICE BISKUPICE 100|Iwanowice Dworskie|*|Biskupice|100|100|||MAŁOPOLSKIE|MAŁOPOLSKIE|*|krakowski|*|Iwanowice
A1679|Błędna nazwa ulicy 'BITSCHMANA'|31-416|31-416|KRAKÓW|Kraków|*|BITSCHMANA|2|2|30|30|MAŁOPOLSKIE|MAŁOPOLSKIE|KRAKÓW|Kraków|KRAKÓW|Kraków
A1257283|Błędna nazwa ulicy 'Bitwy Pod Monte'|33-100|33-100|TARNÓW|Tarnów|*|Bitwy Pod Monte|Cas.9|Cas.9|38|38|*|MAŁOPOLSKIE|*|Tarnów|*|Tarnów
A1352749|Błędna nazwa ulicy 'Bitwy pod Studzienkami'|33-100|33-100|TARNÓW|Tarnów|*|Bitwy pod Studzienkami|1|1|89|89|*|MAŁOPOLSKIE|*|Tarnów|*|Tarnów
A37722|Błędna nazwa ulicy 'Bl.Czeslawa'|44-100|44-100|GLIWICE|Gliwice|*|Bl.Czeslawa|16-18|16-18|||*ŁÓDZKIE|ŚLĄSKIE|*WIELUŃSKI|Gliwice|*WIERZCHLAS|Gliwice
A21296|Błędna nazwa ulicy 'Blonie'|44-103|44-103|GLIWICE|Gliwice|*|Blonie|6|6|||*ŁÓDZKIE|ŚLĄSKIE|*WIELUŃSKI|Gliwice|*WIERZCHLAS|Gliwice
A1349585|Błędna nazwa ulicy 'Bogusławice'|27-580|27-580|*SADOWIE BOGUSŁAWICE|Sadowie|*|Bogusławice|34|34|2|2|ŚWIĘTOKRZYSKIE|ŚWIĘTOKRZYSKIE|*|opatowski|*|Sadowie
A1248026|Błędna nazwa ulicy 'Boh.Getta'|59-500|59-500|ZŁOTORYJA|Złotoryja|*|Boh.Getta|14|14|10|10|DOLNOŚLĄSKIE|DOLNOŚLĄSKIE|ZŁOTORYJSKI|złotoryjski|ZŁOTORYJA|Złotoryja
A1248039|Błędna nazwa ulicy 'Boh.Getta'|59-500|59-500|ZŁOTORYJA|Złotoryja|*|Boh.Getta|12|12|6|6|DOLNOŚLĄSKIE|DOLNOŚLĄSKIE|ZŁOTORYJSKI|złotoryjski|ZŁOTORYJA|Złotoryja
A3876|Błędna nazwa ulicy 'Boh.Września'|31-620|31-620|KRAKÓW|Kraków|*|Boh.Września|12|12|7|7|MAŁOPOLSKIE|MAŁOPOLSKIE|KRAKÓW|Kraków|KRAKÓW|Kraków
A1347476|Błędna nazwa ulicy 'Bol. Podedwornego'|18-300|18-300|ZAMBRÓW|Zambrów|*|Bol. Podedwornego|10|10|12|12|*|PODLASKIE|*|zambrowski|*|Zambrów
A17432|Błędna nazwa ulicy 'Bolesawa Prusa'|30-117|30-117|KRAKÓW|Kraków|*|Bolesawa Prusa|35|35|2|2|MAŁOPOLSKIE|MAŁOPOLSKIE|KRAKÓW|Kraków|KRAKÓW|Kraków
A2077|Błędna nazwa ulicy 'Borelowskiego Lelewela'|30-108|30-108|KRAKÓW|Kraków|*|Borelowskiego Lelewela|13|13|22|22|MAŁOPOLSKIE|MAŁOPOLSKIE|KRAKÓW|Kraków|KRAKÓW|Kraków
A1221275|Błędna nazwa ulicy 'Br.Śniadeckich'|37-300|37-300|LEŻAJSK|Leżajsk|*|Br.Śniadeckich|6|6|87|87|*MAŁOPOLSKIE|PODKARPACKIE|*KRAKÓW|leżajski|*KRAKÓW|Leżajsk
A1348602|Błędna nazwa ulicy 'Branowicka'|37-464|37-464|STALOWA WOLA|Stalowa Wola|*|Branowicka|144|144|||*|PODKARPACKIE|*|stalowowolski|*|Stalowa Wola
A1266683|Błędna nazwa ulicy 'Broniewice'|88-344|88-344|KOŁODZIEJEWO|Kołodziejewo|*|Broniewice|3|3|||KUJAWSKO-POMORSKIE|KUJAWSKO-POMORSKIE|*MOGILEŃSKI|inowrocławski|*MOGILNO|Janikowo
A1353429|Błędna nazwa ulicy 'Browno Kol. Armii Ludowej'|42-233|42-233|MYKANÓW|Mykanów|*|Browno Kol. Armii Ludowej|9|9|||*|ŚLĄSKIE|*|częstochowski|*|Mykanów
A1240620|Błędna nazwa ulicy 'Brtłomieja'|02-683|02-683|WARSZAWA|Warszawa|*|Brtłomieja|2|2|||*|MAZOWIECKIE|*|Warszawa|*|Warszawa
A1349254|Błędna nazwa ulicy 'Brzezowa'|32-410|32-410|DOBCZYCE|Dobczyce|*|Brzezowa|20|20|||*|MAŁOPOLSKIE|*|myślenicki|*|Dobczyce
A1349466|Błędna nazwa ulicy 'Brzóza Warecka'|26-903|26-903|*GŁOWACZÓW BRZÓZA WARECK|Głowaczów|*|Brzóza Warecka|24|24|||MAZOWIECKIE|MAZOWIECKIE|*|kozienicki|*|Głowaczów
A1350859|Błędna nazwa ulicy 'Brzyście'|39-307|39-307|GAWŁUSZOWICE|Gawłuszowice|*|Brzyście|20|20|||*|PODKARPACKIE|*|mielecki|*|Gawłuszowice
A1349655|Błędna nazwa ulicy 'Bukówka'|58-420|58-420|LUBAWKA|Lubawka|*|Bukówka|61|61|||DOLNOŚLĄSKIE|DOLNOŚLĄSKIE|*|kamiennogórski|*|Lubawka
A3831|Błędna nazwa ulicy 'Butrymówa'|31-410|31-410|KRAKÓW|Kraków|*|Butrymówa|1|1|||MAŁOPOLSKIE|MAŁOPOLSKIE|KRAKÓW|Kraków|KRAKÓW|Kraków
A1345362|Błędna nazwa ulicy 'Byszyce'|32-021|32-021|KOŹMICE WIELKIE|Koźmice Wielkie|*|Byszyce|103|103|||*|MAŁOPOLSKIE|*|wielicki|*|Wieliczka
A1190450|Błędna nazwa ulicy 'Cedlera'|41-303|41-303|*DABROWA GORNICZA|Dąbrowa Górnicza|*|Cedlera|14|14|45|45|*ŁÓDZKIE|ŚLĄSKIE|*WIELUŃSKI|Dąbrowa Górnicza|*WIERZCHLAS|Dąbrowa Górnicza
A1352575|Błędna nazwa ulicy 'Cedlera'|41-303|41-303|DĄBROWA GÓRNICZA|Dąbrowa Górnicza|*|Cedlera|4|4|2|2|ŚLĄSKIE|ŚLĄSKIE|DĄBROWA GÓRNICZA|Dąbrowa Górnicza|DĄBROWA GÓRNICZA|Dąbrowa Górnicza
