Komunikat|ID|Kod|Miejscowość|Ulica|Nr domu|Nr mieszkania|Województwo|Powiat|Gmina
Błędna nazwa ulicy '-'/'-'/Szukana ulica: '-',Znormalizowana: '-',Ulica NIE istnieje w bazie TERYT|A1309426|32-082|KOBYLANY 20|-|||||
Błędna nazwa ulicy '-'/'-'/Szukana ulica: '-',Znormalizowana: '-',Ulica NIE istnieje w bazie TERYT|A1328934|32-864|GNOJNIK 528|-|||||
Błędna nazwa ulicy '-'/'-'/Szukana ulica: '-',Znormalizowana: '-',Ulica NIE istnieje w bazie TERYT|A1324501|98-285|TUBĄDZIN 31|-|||||
Błędna nazwa ulicy '-'/'-'/Szukana ulica: '-',Znormalizowana: '-',Ulica NIE istnieje w bazie TERYT|A1392816|27-552|BAĆKOWICE|-|132|-|||
Błędna nazwa ulicy '-'/'-'/Szukana ulica: '-',Znormalizowana: '-',Ulica NIE istnieje w bazie TERYT|A1392833|32-853|ŁYSA GÓRA|-|115|-|||
Błędna nazwa ulicy '-'/'-'/Szukana ulica: '-',Znormalizowana: '-',Ulica NIE istnieje w bazie TERYT|S2830|30-698|GOLKOWICE|-|299||MAŁOPOLSKIE|WIELICKI|WIELICZKA
Błędna nazwa ulicy '-'/'-'/Szukana ulica: '-',Znormalizowana: '-',Ulica NIE istnieje w bazie TERYT|A1952673|34-205|STRYSZAWA|-|553||||
Błędna nazwa ulicy '-'/'-'/Szukana ulica: '-',Znormalizowana: '-',Ulica NIE istnieje w bazie TERYT|A1952675|34-205|STRYSZAWA|-|553||||
Błędna nazwa ulicy '-'/'-'/Szukana ulica: '-',Znormalizowana: '-',Ulica NIE istnieje w bazie TERYT|A1954426|39-204|GÓRA MOTYCZNA|-|94a||||
Błędna nazwa ulicy '-l.'/'-l.'/Szukana ulica: '-l.',Znormalizowana: '-l.',Ulica NIE istnieje w bazie TERYT|A1195600|32-031|MOGILANY 12|-l.|||ŁÓDZKIE|WIELUŃSKI|WIERZCHLAS
Błędna nazwa ulicy '-l.'/'-l.'/Szukana ulica: '-l.',Znormalizowana: '-l.',Ulica NIE istnieje w bazie TERYT|A1197534|33-336|ŁABOWA 43|-l.|||ŁÓDZKIE|WIELUŃSKI|WIERZCHLAS
Błędna nazwa ulicy '?w.Barbary'/'?w. barbary'/Szukana ulica: '?w.Barbary',Znormalizowana: '?w. barbary',Ulica NIE istnieje w bazie TERYT|A1397471|32-020|WIELICZKA|?w.Barbary|23||||
Błędna nazwa ulicy '. Curie-Skłodowskiej'/'. curie-sklodowskiej'/Szukana ulica: '. Curie-Skłodowskiej',Znormalizowana: '. curie-sklodowskiej',Ulica NIE istnieje w bazie TERYT|A1370421|39-300|MIELEC|. Curie-Skłodowskiej|38145||||
Błędna nazwa ulicy '.Rynek Podgórski'/'. rynek podgorski'/Szukana ulica: '.Rynek Podgórski',Znormalizowana: '. rynek podgorski',Ulica NIE istnieje w bazie TERYT|A1442292|30-518|KRAKÓW|.Rynek Podgórski|7|24|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy '['/'['/Szukana ulica: '[',Znormalizowana: '[',Ulica NIE istnieje w bazie TERYT|A1939688|31-421|Kraków|[|42d|39|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy '*Plac Św.Ducha'/'*plac sw. ducha'/Szukana ulica: '*Plac Św.Ducha',Znormalizowana: '*plac sw. ducha',Ulica NIE istnieje w bazie TERYT|A1231685||KRAKÓW|*Plac Św.Ducha|1||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy '/Lipnica Mala'/'/lipnica mala'/Szukana ulica: '/Lipnica Mala',Znormalizowana: '/lipnica mala',Ulica NIE istnieje w bazie TERYT|A1853704|34-482|Lipnica Mała|/Lipnica Mala|4a||||
Błędna nazwa ulicy '/proszówki'/'/proszowki'/Szukana ulica: '/proszówki',Znormalizowana: '/proszowki',Ulica NIE istnieje w bazie TERYT|A1894451|32-700|Proszówki|/proszówki|162||||
Błędna nazwa ulicy '/Zaborze/Witaminka'/'/zaborze/witaminka'/Szukana ulica: '/Zaborze/Witaminka',Znormalizowana: '/zaborze/witaminka',Ulica NIE istnieje w bazie TERYT|A1438924|32-600|ZABORZE|/Zaborze/Witaminka|3||||
Błędna nazwa ulicy '\\. Albertyńskie'/'\\. albertynskie'/Szukana ulica: '\\. Albertyńskie',Znormalizowana: '\\. albertynskie',Ulica NIE istnieje w bazie TERYT|A1467021|31-853|KRAKÓ|\\. Albertyńskie|19|8|||
Błędna nazwa ulicy '\l.B.Chrobrego'/'\l. b. chrobrego'/Szukana ulica: '\l.B.Chrobrego',Znormalizowana: '\l. b. chrobrego',Ulica NIE istnieje w bazie TERYT|A1263325|40-881|KATOWICE|\l.B.Chrobrego|13|103|ŚLĄSKIE|KATOWICE|KATOWICE
Błędna nazwa ulicy '\l.Harnasiów'/'\l. harnasiow'/Szukana ulica: '\l.Harnasiów',Znormalizowana: '\l. harnasiow',Ulica NIE istnieje w bazie TERYT|A1391075|31-479|KRAKÓW|\l.Harnasiów|6||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy '+l. Sikorek'/'+l. sikorek'/Szukana ulica: '+l. Sikorek',Znormalizowana: '+l. sikorek',Ulica NIE istnieje w bazie TERYT|A1412126|43-300|BIELSKO-BIAŁA|+l. Sikorek|12||||
Błędna nazwa ulicy '004Dywizjonu 303'/'004dywizjonu 303'/Szukana ulica: '004Dywizjonu 303',Znormalizowana: '004dywizjonu 303',Ulica NIE istnieje w bazie TERYT|A1441977|31-875|KRAKÓW|004Dywizjonu 303|43|9|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy '05 Tarnowska'/'05 tarnowska'/Szukana ulica: '05 Tarnowska',Znormalizowana: '05 tarnowska',Ulica NIE istnieje w bazie TERYT|A1392719|35-502|RZESZÓW|05 Tarnowska|8a||||
Błędna nazwa ulicy '0l. Bajana'/'0l. bajana'/Szukana ulica: '0l. Bajana',Znormalizowana: '0l. bajana',Ulica NIE istnieje w bazie TERYT|A1390908|39-300|MIELEC|0l. Bajana|2|7|||
Błędna nazwa ulicy '1 - go Maja'/'1 - go maja'/Szukana ulica: '1 - go Maja',Znormalizowana: '1 - go maja',Ulica NIE istnieje w bazie TERYT|A1687488|32-332|Bukowno|1 - go Maja|80||||
Błędna nazwa ulicy '1 Armii Wojska Polsk'/'1 armii wojska polsk'/Szukana ulica: '1 Armii Wojska Polsk',Znormalizowana: '1 armii wojska polsk',Ulica NIE istnieje w bazie TERYT|A1638762|22-100|Chełm|1 Armii Wojska Polsk|23|6|||
Błędna nazwa ulicy '1 Armii Wojska Polskiego'/'1 armii wojska polskiego'/Szukana ulica: '1 Armii Wojska Polskiego',Znormalizowana: '1 armii wojska polskiego',Ulica NIE istnieje w bazie TERYT|A1410599|15-105|BIAŁYSTOK|1 Armii Wojska Polskiego|9||||
Błędna nazwa ulicy '1 Armii Wojska Polskiego'/'1 armii wojska polskiego'/Szukana ulica: '1 Armii Wojska Polskiego',Znormalizowana: '1 armii wojska polskiego',Ulica NIE istnieje w bazie TERYT|A1686893|23-420|Tarnogród|1 Armii Wojska Polskiego|22||||
Błędna nazwa ulicy '1 dong'/'1 dong'/Szukana ulica: '1 dong',Znormalizowana: '1 dong',Ulica NIE istnieje w bazie TERYT|A1980149||CHENG|1 dong|5ceng||||
Błędna nazwa ulicy '1 go Maja'/'1 go maja'/Szukana ulica: '1 go Maja',Znormalizowana: '1 go maja',Ulica NIE istnieje w bazie TERYT|A1438926|58-500|JELENIA GÓRA|1 go Maja|35|1a|||
Błędna nazwa ulicy '1 Praskiego WP'/'1 praskiego wp'/Szukana ulica: '1 Praskiego WP',Znormalizowana: '1 praskiego wp',Ulica NIE istnieje w bazie TERYT|A1957305|05-075|WARSZAWA|1 Praskiego WP 17|||||
Błędna nazwa ulicy '1- szej Brygady'/'1- szej brygady'/Szukana ulica: '1- szej Brygady',Znormalizowana: '1- szej brygady',Ulica NIE istnieje w bazie TERYT|A1443627|33-300|NOWY SĄCZ|1- szej Brygady|16|4|||
Błędna nazwa ulicy '1-ego Maja'/'1-ego maja'/Szukana ulica: '1-ego Maja',Znormalizowana: '1-ego maja',Ulica NIE istnieje w bazie TERYT|A1617477|32-620|Brzeszcze|1-ego Maja|19|2|||
Błędna nazwa ulicy '1-go Maja 14'/'1 maja 14'/Szukana ulica: '1-go Maja 14',Znormalizowana: '1 maja 14',Ulica NIE istnieje w bazie TERYT|A1402350|28-500|KAZIMIERZ WIELKA|1-go Maja 14|14||||
Błędna nazwa ulicy '1-go praskiego pułku'/'1 praskiego pulku'/Szukana ulica: '1-go praskiego pułku',Znormalizowana: '1 praskiego pulku',Ulica NIE istnieje w bazie TERYT|A1805096|05-075|Warszawa|1-go praskiego pułku|16||||
Błędna nazwa ulicy '10 Pułku Strzelców K'/'10 pulku strzelcow k'/Szukana ulica: '10 Pułku Strzelców K',Znormalizowana: '10 pulku strzelcow k',Ulica NIE istnieje w bazie TERYT|A1464352|37-100|ŁAŃCUT|10 Pułku Strzelców K|13||||
Błędna nazwa ulicy '10 Pułku Strzelców K'/'10 pulku strzelcow k'/Szukana ulica: '10 Pułku Strzelców K',Znormalizowana: '10 pulku strzelcow k',Ulica NIE istnieje w bazie TERYT|ZA1464352|37-100|ŁAŃCUT|10 Pułku Strzelców K|13||PODKARPACKIE|ŁAŃCUCKI|ŁAŃCUT
Błędna nazwa ulicy '10 Pułku Strzelców K'/'10 pulku strzelcow k'/Szukana ulica: '10 Pułku Strzelców K',Znormalizowana: '10 pulku strzelcow k',Ulica NIE istnieje w bazie TERYT|A1707613|37-100|Łańcut|10 Pułku Strzelców K|16||||
Błędna nazwa ulicy '10 Sudeckiej Dywizji Zmechaniz'/'10 sudeckiej dywizji zmechaniz'/Szukana ulica: '10 Sudeckiej Dywizji Zmechaniz',Znormalizowana: '10 sudeckiej dywizji zmechaniz',Ulica NIE istnieje w bazie TERYT|A1383103|45-828|OPOLE|10 Sudeckiej Dywizji Zmechaniz|4||||
Błędna nazwa ulicy '1000 -lecia'/'1000 -lecia'/Szukana ulica: '1000 -lecia',Znormalizowana: '1000 -lecia',Ulica NIE istnieje w bazie TERYT|A1788075|34-220|MAKÓW PODHALAŃSKI|1000 -lecia|7|10|||
Błędna nazwa ulicy '1000-lecia 22'/'1000-lecia 22'/Szukana ulica: '1000-lecia 22',Znormalizowana: '1000-lecia 22',Ulica NIE istnieje w bazie TERYT|A1439399|33-380|KRYNICA ZDRÓJ|1000-lecia 22|22||||
Błędna nazwa ulicy '1000-lecia 8e/52'/'1000-lecia 8e/52'/Szukana ulica: '1000-lecia 8e/52',Znormalizowana: '1000-lecia 8e/52',Ulica NIE istnieje w bazie TERYT|A1467185|37-400|NISKO|1000-lecia 8e/52|52||||
Błędna nazwa ulicy '1000-Lecia P.P.'/'1000-lecia p. p.'/Szukana ulica: '1000-Lecia P.P.',Znormalizowana: '1000-lecia p. p.',Ulica NIE istnieje w bazie TERYT|A1811897|15-111|BIAŁYSTOK|1000-Lecia P.P.|6||||
Błędna nazwa ulicy '10000 Lecia'/'10000 lecia'/Szukana ulica: '10000 Lecia',Znormalizowana: '10000 lecia',Ulica NIE istnieje w bazie TERYT|A1773040|32-540|TRZEBINIA|10000 Lecia|30a|1|||
Błędna nazwa ulicy '11 - go Listopada'/'11 - go listopada'/Szukana ulica: '11 - go Listopada',Znormalizowana: '11 - go listopada',Ulica NIE istnieje w bazie TERYT|A1634979|28-221|Osiek|11 - go Listopada|52||||
Błędna nazwa ulicy '11 go Listopada'/'11 go listopada'/Szukana ulica: '11 go Listopada',Znormalizowana: '11 go listopada',Ulica NIE istnieje w bazie TERYT|A1830909|32-590|Libiąż|11 go Listopada|22|75|||
Błędna nazwa ulicy '11-ego listopada'/'11-ego listopada'/Szukana ulica: '11-ego listopada',Znormalizowana: '11-ego listopada',Ulica NIE istnieje w bazie TERYT|A1807018|28-200|Staszów|11-ego listopada|125||||
Błędna nazwa ulicy '11-go Pułku Ułanów L'/'11 pulku ulanow l'/Szukana ulica: '11-go Pułku Ułanów L',Znormalizowana: '11 pulku ulanow l',Ulica NIE istnieje w bazie TERYT|A1685915|06-400|Ciechanów|11-go Pułku Ułanów L|22|30|||
Błędna nazwa ulicy '11-tego listopada'/'11-tego listopada'/Szukana ulica: '11-tego listopada',Znormalizowana: '11-tego listopada',Ulica NIE istnieje w bazie TERYT|A1309390|32-590|LIBIĄŻ|11-tego listopada|XII|46|||
Błędna nazwa ulicy '11-tego Listopada'/'11-tego listopada'/Szukana ulica: '11-tego Listopada',Znormalizowana: '11-tego listopada',Ulica NIE istnieje w bazie TERYT|A1614167|26-600|Radom|11-tego Listopada|56|18|||
Błędna nazwa ulicy '11-tego Listopada'/'11-tego listopada'/Szukana ulica: '11-tego Listopada',Znormalizowana: '11-tego listopada',Ulica NIE istnieje w bazie TERYT|A1704364|42-300|MYSZKÓW|11-tego Listopada|4a||||
Błędna nazwa ulicy '11-tego Listopada'/'11-tego listopada'/Szukana ulica: '11-tego Listopada',Znormalizowana: '11-tego listopada',Ulica NIE istnieje w bazie TERYT|A1895186|43-600|Jaworzno|11-tego Listopada|11|27|||
Błędna nazwa ulicy '110 Sudeckiej Dywizji Zmechani'/'110 sudeckiej dywizji zmechani'/Szukana ulica: '110 Sudeckiej Dywizji Zmechani',Znormalizowana: '110 sudeckiej dywizji zmechani',Ulica NIE istnieje w bazie TERYT|A1633066|45-828|OPOLE|110 Sudeckiej Dywizji Zmechani|4||||
Błędna nazwa ulicy '12 - go Października'/'12 - go pazdziernika'/Szukana ulica: '12 - go Października',Znormalizowana: '12 - go pazdziernika',Ulica NIE istnieje w bazie TERYT|A1464106|39-400|TARNOBRZEG|12 - go Października|4||||
Błędna nazwa ulicy '13-GO STYCZNIA'/'13 stycznia'/Szukana ulica: '13-GO STYCZNIA',Znormalizowana: '13 stycznia',Ulica NIE istnieje w bazie TERYT|A1645237||CHMIELNIK|13-GO STYCZNIA|1A||||
Błędna nazwa ulicy '15 go P.P.'/'15 go p. p.'/Szukana ulica: '15 go P.P.',Znormalizowana: '15 go p. p.',Ulica NIE istnieje w bazie TERYT|A1366791|08-530|WILKÓW|15 go P.P.|9|13|||
Błędna nazwa ulicy '15 PP wilkow AK'/'15 pp wilkow ak'/Szukana ulica: '15 PP wilkow AK',Znormalizowana: '15 pp wilkow ak',Ulica NIE istnieje w bazie TERYT|A1630467|08-500|RYKI|15 PP wilkow AK 1|||||
Błędna nazwa ulicy '15PP Wilków'/'15pp wilkow'/Szukana ulica: '15PP Wilków',Znormalizowana: '15pp wilkow',Ulica NIE istnieje w bazie TERYT|A1898547|08-530|DĘBLIN|15PP Wilków 3|||||
Błędna nazwa ulicy '16 Stycznia CHLEWICE'/'16 stycznia chlewice'/Szukana ulica: '16 Stycznia CHLEWICE',Znormalizowana: '16 stycznia chlewice',Ulica NIE istnieje w bazie TERYT|A1882266|29-130|MOSKORZEW|16 Stycznia CHLEWICE|26||||
Błędna nazwa ulicy '17-ego Stycznia'/'17-ego stycznia'/Szukana ulica: '17-ego Stycznia',Znormalizowana: '17-ego stycznia',Ulica NIE istnieje w bazie TERYT|A1763722|02-146|WARSZAWA|17-ego Stycznia|48||||
Błędna nazwa ulicy '18.Wiejska'/'18. wiejska'/Szukana ulica: '18.Wiejska',Znormalizowana: '18. wiejska',Ulica NIE istnieje w bazie TERYT|A1392812|37-700|PRZEMYŚL|18.Wiejska|2||||
Błędna nazwa ulicy '19 Kwietnia, Rybie'/'19 kwietnia, rybie'/Szukana ulica: '19 Kwietnia, Rybie',Znormalizowana: '19 kwietnia, rybie',Ulica NIE istnieje w bazie TERYT|A1920788|05-090|RASZYN|19 Kwietnia, Rybie|58||||
Błędna nazwa ulicy '2 Armii Wojska Polskiego'/'2 armii wojska polskiego'/Szukana ulica: '2 Armii Wojska Polskiego',Znormalizowana: '2 armii wojska polskiego',Ulica NIE istnieje w bazie TERYT|A1763169|38-500|SANOK|2 Armii Wojska Polskiego|11||||
Błędna nazwa ulicy '2 Armii'/'2 armii'/Szukana ulica: '2 Armii',Znormalizowana: '2 armii',Ulica NIE istnieje w bazie TERYT|A1453015|65-936|ZIELONA GÓRA|2 Armii|16|3|||
Błędna nazwa ulicy '2 Pułk strz. pdh.'/'2 pulk strz. pdh.'/Szukana ulica: '2 Pułk strz. pdh.',Znormalizowana: '2 pulk strz. pdh.',Ulica NIE istnieje w bazie TERYT|A1440325|38-500|SANOK|2 Pułk strz. pdh.|3||||
Błędna nazwa ulicy '2-go Pułku Lotn.'/'2 pulku lotn.'/Szukana ulica: '2-go Pułku Lotn.',Znormalizowana: '2 pulku lotn.',Ulica NIE istnieje w bazie TERYT|A1348598|31-870|KRAKÓW|2-go Pułku Lotn.|42|33|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy '20 10600076'/'20 10600076'/Szukana ulica: '20 10600076',Znormalizowana: '20 10600076',Ulica NIE istnieje w bazie TERYT|A1331976|23-423|SZYSZKÓW|20 10600076|85||||
Błędna nazwa ulicy '20- go Stycznia'/'20- go stycznia'/Szukana ulica: '20- go Stycznia',Znormalizowana: '20- go stycznia',Ulica NIE istnieje w bazie TERYT|A1643982|32-700|Bochnia|20- go Stycznia|14||||
Błędna nazwa ulicy '20-Straconych'/'20-straconych'/Szukana ulica: '20-Straconych',Znormalizowana: '20-straconych',Ulica NIE istnieje w bazie TERYT|A1441692|32-300|OLKUSZ|20-Straconych|48||||
Błędna nazwa ulicy '2004towicza'/'2004towicza'/Szukana ulica: '2004towicza',Znormalizowana: '2004towicza',Ulica NIE istnieje w bazie TERYT|A1708365|36-110|Majdan Królewski|2004towicza|2||||
Błędna nazwa ulicy '21 P.P.D.Warszawy'/'21 p. p. d. warszawy'/Szukana ulica: '21 P.P.D.Warszawy',Znormalizowana: '21 p. p. d. warszawy',Ulica NIE istnieje w bazie TERYT|A1432902|03-983|WARSZAWA|21 P.P.D.Warszawy|11|19|MAZOWIECKIE|WARSZAWA|PRAGA-POŁUDNIE
Błędna nazwa ulicy '21go Stycznia'/'21go stycznia'/Szukana ulica: '21go Stycznia',Znormalizowana: '21go stycznia',Ulica NIE istnieje w bazie TERYT|A1778714|32-440|Sułkowice|21go Stycznia|12||||
Błędna nazwa ulicy '21P.P.Dzieci Warszawy'/'21p. p. dzieci warszawy'/Szukana ulica: '21P.P.Dzieci Warszawy',Znormalizowana: '21p. p. dzieci warszawy',Ulica NIE istnieje w bazie TERYT|A1304282|03-983|WARSZAWY|21P.P.Dzieci Warszawy|11||||
Błędna nazwa ulicy '22-Lipca'/'22-lipca'/Szukana ulica: '22-Lipca',Znormalizowana: '22-lipca',Ulica NIE istnieje w bazie TERYT|A1665847|26-006|Rudki|22-Lipca|2|12|||
Błędna nazwa ulicy '22Lipca'/'22lipca'/Szukana ulica: '22Lipca',Znormalizowana: '22lipca',Ulica NIE istnieje w bazie TERYT|A1205032|26-007|RUDKI|22Lipca|13|9|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy '22Lipca'/'22lipca'/Szukana ulica: '22Lipca',Znormalizowana: '22lipca',Ulica NIE istnieje w bazie TERYT|A1633221|66-015|PRZYLEP|22Lipca|6a|302|||
Błędna nazwa ulicy '23 10'/'23 10'/Szukana ulica: '23 10',Znormalizowana: '23 10',Ulica NIE istnieje w bazie TERYT|A1468981|28-300|JĘDRZEJÓW|23 10|g202733||||
Błędna nazwa ulicy '23 23ajczyka'/'23 23ajczyka'/Szukana ulica: '23 23ajczyka',Znormalizowana: '23 23ajczyka',Ulica NIE istnieje w bazie TERYT|A1351704|35-209|RZSZÓW|23 23ajczyka|7|22|||
Błędna nazwa ulicy '239'/'239'/Szukana ulica: '239',Znormalizowana: '239',Ulica NIE istnieje w bazie TERYT|A1371055|34-723|SIENIAWA|239|B||MAŁOPOLSKIE||
Błędna nazwa ulicy '24 Stycznia'/'24 stycznia'/Szukana ulica: '24 Stycznia',Znormalizowana: '24 stycznia',Ulica NIE istnieje w bazie TERYT|A1353418|32-540|TRZEBINIA|24 Stycznia|18||||
Błędna nazwa ulicy '24 Stycznia'/'24 stycznia'/Szukana ulica: '24 Stycznia',Znormalizowana: '24 stycznia',Ulica NIE istnieje w bazie TERYT|A1664923|32-540|Trzebinia|24 Stycznia|25C||||
Błędna nazwa ulicy '24 Stycznia'/'24 stycznia'/Szukana ulica: '24 Stycznia',Znormalizowana: '24 stycznia',Ulica NIE istnieje w bazie TERYT|A1709504|32-540|Trzebinia|24 Stycznia|12a||||
Błędna nazwa ulicy '24 Stycznia'/'24 stycznia'/Szukana ulica: '24 Stycznia',Znormalizowana: '24 stycznia',Ulica NIE istnieje w bazie TERYT|A1715262|32-540|Trzebinia|24 Stycznia|23||||
Błędna nazwa ulicy '24 Stycznia'/'24 stycznia'/Szukana ulica: '24 Stycznia',Znormalizowana: '24 stycznia',Ulica NIE istnieje w bazie TERYT|A1734273|32-540|Trzebinia|24 Stycznia|12A||||
Błędna nazwa ulicy '24-go stycznia'/'24 stycznia'/Szukana ulica: '24-go stycznia',Znormalizowana: '24 stycznia',Ulica NIE istnieje w bazie TERYT|A1756287|32-540|Trzebinia|24-go stycznia|16A||||
Błędna nazwa ulicy '24-go Stycznia'/'24 stycznia'/Szukana ulica: '24-go Stycznia',Znormalizowana: '24 stycznia',Ulica NIE istnieje w bazie TERYT|A1783665|32-540|Trzebinia|24-go Stycznia|16||||
Błędna nazwa ulicy '24a Trumpington Street'/'24a trumpington street'/Szukana ulica: '24a Trumpington Street',Znormalizowana: '24a trumpington street',Ulica NIE istnieje w bazie TERYT|A1225291||CAMBRIDGE CB2 1|24a Trumpington Street|||||
Błędna nazwa ulicy '25 Lecia PRL'/'25 lecia prl'/Szukana ulica: '25 Lecia PRL',Znormalizowana: '25 lecia prl',Ulica NIE istnieje w bazie TERYT|A1629961|32-840|ZAKLICZYN|25 Lecia PRL|12||||
Błędna nazwa ulicy '25 Lecia'/'25 lecia'/Szukana ulica: '25 Lecia',Znormalizowana: '25 lecia',Ulica NIE istnieje w bazie TERYT|A1204774|64-980|TRZCIANKA LUBUSKA|25 Lecia|5|14|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy '25-lecia PRL'/'25-lecia prl'/Szukana ulica: '25-lecia PRL',Znormalizowana: '25-lecia prl',Ulica NIE istnieje w bazie TERYT|A1637107|28-200|Staszów|25-lecia PRL|3|16|||
Błędna nazwa ulicy '25-lecia PRL'/'25-lecia prl'/Szukana ulica: '25-lecia PRL',Znormalizowana: '25-lecia prl',Ulica NIE istnieje w bazie TERYT|A1637799|32-840|Zakliczyn|25-lecia PRL|12||||
Błędna nazwa ulicy '254/'/'254/'/Szukana ulica: '254/',Znormalizowana: '254/',Ulica NIE istnieje w bazie TERYT|A1353234|37-723|STUBNO|254/|11||||
Błędna nazwa ulicy '27 Wołyńskiej Dyw.Piech.AK'/'27 wolynskiej dyw. piech. ak'/Szukana ulica: '27 Wołyńskiej Dyw.Piech.AK',Znormalizowana: '27 wolynskiej dyw. piech. ak',Ulica NIE istnieje w bazie TERYT|A-10065|22-500|HRUBIESZÓW|27 Wołyńskiej Dyw.Piech.AK|11||||
