Komunikat|ID|Kod|Miejscowość|Ulica|Nr domu|Nr mieszkania|Województwo|Powiat|Gmina
Błędna nazwa ulicy '1- szej Brygady'/'1- szej brygady'|A1443627|33-300|NOWY SĄCZ|1- szej Brygady|16|4|||
Błędna nazwa ulicy '1-ego Maja'/'1-ego maja'|A1617477|32-620|Brzeszcze|1-ego Maja|19|2|||
Błędna nazwa ulicy '1-go praskiego pułku'/'1 praskiego pulku'|A1805096|05-075|Warszawa|1-go praskiego pułku|16||||
Błędna nazwa ulicy '1-MAJA'/'1-maja'|A1421646|44-330|JASTRZĘBIE|1-MAJA|19||||
Błędna nazwa ulicy '10 Pułku Strzelców K'/'10 pulku strzelcow k'|A1464352|37-100|ŁAŃCUT|10 Pułku Strzelców K|13||||
Błędna nazwa ulicy '10 Pułku Strzelców K'/'10 pulku strzelcow k'|ZA1464352|37-100|ŁAŃCUT|10 Pułku Strzelców K|13||PODKARPACKIE|ŁAŃCUCKI|ŁAŃCUT
Błędna nazwa ulicy '10 Pułku Strzelców K'/'10 pulku strzelcow k'|A1707613|37-100|Łańcut|10 Pułku Strzelców K|16||||
Błędna nazwa ulicy '10 Sudeckiej Dywizji Zmechaniz'/'10 sudeckiej dywizji zmechaniz'|A1383103|45-828|OPOLE|10 Sudeckiej Dywizji Zmechaniz|4||||
Błędna nazwa ulicy '1000 -lecia'/'1000 -lecia'|A1788075|34-220|MAKÓW PODHALAŃSKI|1000 -lecia|7|10|||
Błędna nazwa ulicy '1000-Lecia P.P.'/'1000-lecia p. p.'|A1811897|15-111|BIAŁYSTOK|1000-Lecia P.P.|6||||
Błędna nazwa ulicy '10000 Lecia'/'10000 lecia'|A1773040|32-540|TRZEBINIA|10000 Lecia|30a|1|||
Błędna nazwa ulicy '1000lecia'/'1000lecia'|A1636167|34-400|Nowy Targ|1000lecia|36|16|||
Błędna nazwa ulicy '1000lecia'/'1000lecia'|A1711156|34-700|Rabka-Zdrój|1000lecia|14||||
Błędna nazwa ulicy '11 - go Listopada'/'11 - go listopada'|A1634979|28-221|Osiek|11 - go Listopada|52||||
Błędna nazwa ulicy '11 go Listopada'/'11 go listopada'|A1830909|32-590|Libiąż|11 go Listopada|22|75|||
Błędna nazwa ulicy '11-ego listopada'/'11-ego listopada'|A1807018|28-200|Staszów|11-ego listopada|125||||
Błędna nazwa ulicy '11-go Pułku Ułanów L'/'11 pulku ulanow l'|A1685915|06-400|Ciechanów|11-go Pułku Ułanów L|22|30|||
Błędna nazwa ulicy '11-tego listopada'/'11-tego listopada'|A1309390|32-590|LIBIĄŻ|11-tego listopada|XII|46|||
Błędna nazwa ulicy '11-tego Listopada'/'11-tego listopada'|A1614167|26-600|Radom|11-tego Listopada|56|18|||
Błędna nazwa ulicy '11-tego Listopada'/'11-tego listopada'|A1704364|42-300|MYSZKÓW|11-tego Listopada|4a||||
Błędna nazwa ulicy '11-tego Listopada'/'11-tego listopada'|A1895186|43-600|Jaworzno|11-tego Listopada|11|27|||
Błędna nazwa ulicy '110 Sudeckiej Dywizji Zmechani'/'110 sudeckiej dywizji zmechani'|A1633066|45-828|OPOLE|110 Sudeckiej Dywizji Zmechani|4||||
Błędna nazwa ulicy '1153. Street'/'1153. street'|A1987295||Antalya|1153. Street|C||||
Błędna nazwa ulicy '12 - go Października'/'12 - go pazdziernika'|A1464106|39-400|TARNOBRZEG|12 - go Października|4||||
Błędna nazwa ulicy '121140wackiego'/'121140wackiego'|A1393990|26-600|RADOM|121140wackiego|226|1|||
Błędna nazwa ulicy '13-GO STYCZNIA'/'13 stycznia'|A1645237||CHMIELNIK|13-GO STYCZNIA|1A||||
Błędna nazwa ulicy '13xiang'/'13xiang'|A1955879||SHEN|13xiang|7||||
Błędna nazwa ulicy '15 go P.P.'/'15 go p. p.'|A1366791|08-530|WILKÓW|15 go P.P.|9|13|||
Błędna nazwa ulicy '15 PP wilkow AK'/'15 pp wilkow ak'|A1630467|08-500|RYKI|15 PP wilkow AK 1|||||
Błędna nazwa ulicy '15-Grudnia'/'15-grudnia'|A1808535|96-230|BIAŁA RAWSKA|15-Grudnia|9||||
Błędna nazwa ulicy '15PP Wilków'/'15pp wilkow'|A1898547|08-530|DĘBLIN|15PP Wilków 3|||||
Błędna nazwa ulicy '16 Stycznia CHLEWICE'/'16 stycznia chlewice'|A1882266|29-130|MOSKORZEW|16 Stycznia CHLEWICE|26||||
Błędna nazwa ulicy '17-ego Stycznia'/'17-ego stycznia'|A1763722|02-146|WARSZAWA|17-ego Stycznia|48||||
Błędna nazwa ulicy '17Stycznia'/'17stycznia'|A1784075|02-146|WARSZAWA|17Stycznia|45D||||
Błędna nazwa ulicy '18-Stycznia'/'18-stycznia'|A7906||Krakow|18-Stycznia|55||ŁÓDZKIE|WIELUŃSKI|WIERZCHLAS
Błędna nazwa ulicy '18.Wiejska'/'18. wiejska'|A1392812|37-700|PRZEMYŚL|18.Wiejska|2||||
Błędna nazwa ulicy '19 Kwietnia, Rybie'/'19 kwietnia, rybie'|A1920788|05-090|RASZYN|19 Kwietnia, Rybie|58||||
Błędna nazwa ulicy '1905r'/'1905r'|A1437868|26-600|RADOM|1905r|19a|20|||
Błędna nazwa ulicy '2 Armii Wojska Polskiego'/'2 armii wojska polskiego'|A1763169|38-500|SANOK|2 Armii Wojska Polskiego|11||||
Błędna nazwa ulicy '2 Armii'/'2 armii'|A1453015|65-936|ZIELONA GÓRA|2 Armii|16|3|||
Błędna nazwa ulicy '2 Pułk strz. pdh.'/'2 pulk strz. pdh.'|A1440325|38-500|SANOK|2 Pułk strz. pdh.|3||||
Błędna nazwa ulicy '2-go Pułku Lotn.'/'2 pulku lotn.'|A1348598|31-870|KRAKÓW|2-go Pułku Lotn.|42|33|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy '20- go Stycznia'/'20- go stycznia'|A1643982|32-700|Bochnia|20- go Stycznia|14||||
Błędna nazwa ulicy '20-Straconych'/'20-straconych'|A1441692|32-300|OLKUSZ|20-Straconych|48||||
Błędna nazwa ulicy '2004towicza'/'2004towicza'|A1708365|36-110|Majdan Królewski|2004towicza|2||||
Błędna nazwa ulicy '21 P.P.D.Warszawy'/'21 p. p. d. warszawy'|A1432902|03-983|WARSZAWA|21 P.P.D.Warszawy|11|19|MAZOWIECKIE|WARSZAWA|PRAGA-POŁUDNIE
Błędna nazwa ulicy '21go Stycznia'/'21go stycznia'|A1778714|32-440|Sułkowice|21go Stycznia|12||||
Błędna nazwa ulicy '21P.P.Dzieci Warszawy'/'21p. p. dzieci warszawy'|A1304282|03-983|WARSZAWY|21P.P.Dzieci Warszawy|11||||
Błędna nazwa ulicy '22-Lipca'/'22-lipca'|A1665847|26-006|Rudki|22-Lipca|2|12|||
Błędna nazwa ulicy '22Lipca'/'22lipca'|A1205032|26-007|RUDKI|22Lipca|13|9|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy '22Lipca'/'22lipca'|A1633221|66-015|PRZYLEP|22Lipca|6a|302|||
Błędna nazwa ulicy '239'/'239'|A1371055|34-723|SIENIAWA|239|B||MAŁOPOLSKIE||
Błędna nazwa ulicy '24 Stycznia'/'24 stycznia'|A1353418|32-540|TRZEBINIA|24 Stycznia|18||||
Błędna nazwa ulicy '24 Stycznia'/'24 stycznia'|A1664923|32-540|Trzebinia|24 Stycznia|25C||||
Błędna nazwa ulicy '24 Stycznia'/'24 stycznia'|A1709504|32-540|Trzebinia|24 Stycznia|12a||||
Błędna nazwa ulicy '24 Stycznia'/'24 stycznia'|A1715262|32-540|Trzebinia|24 Stycznia|23||||
Błędna nazwa ulicy '24 Stycznia'/'24 stycznia'|A1734273|32-540|Trzebinia|24 Stycznia|12A||||
Błędna nazwa ulicy '24-go stycznia'/'24 stycznia'|A1756287|32-540|Trzebinia|24-go stycznia|16A||||
Błędna nazwa ulicy '24-go Stycznia'/'24 stycznia'|A1783665|32-540|Trzebinia|24-go Stycznia|16||||
Błędna nazwa ulicy '25 Lecia PRL'/'25 lecia prl'|A1629961|32-840|ZAKLICZYN|25 Lecia PRL|12||||
Błędna nazwa ulicy '25 Lecia'/'25 lecia'|A1204774|64-980|TRZCIANKA LUBUSKA|25 Lecia|5|14|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy '25-lecia PRL'/'25-lecia prl'|A1637107|28-200|Staszów|25-lecia PRL|3|16|||
Błędna nazwa ulicy '25-lecia PRL'/'25-lecia prl'|A1637799|32-840|Zakliczyn|25-lecia PRL|12||||
Błędna nazwa ulicy '254/'/'254/'|A1353234|37-723|STUBNO|254/|11||||
Błędna nazwa ulicy '27 Wołyńskiej Dyw.Piech.AK'/'27 wolynskiej dyw. piech. ak'|A-10065|22-500|HRUBIESZÓW|27 Wołyńskiej Dyw.Piech.AK|11||||
Błędna nazwa ulicy '27-Stycznia'/'27-stycznia'|A1249386|41-100|SIEMIANOWICE ŚLĄSKIE|27-Stycznia|1||||
Błędna nazwa ulicy '28 lipca 1943 roku'/'28 lipca 1943 roku'|A1708214|30-233|Kraków|28 lipca 1943 roku|30|1|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy '28 lipca 1943'/'28 lipca'|A11327261|30-233|KRAKÓW|28 lipca 1943|17c||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy '28 Lipca 1943'/'28 lipca'|A1300038|30-233|KRAKÓW|28 Lipca 1943|8||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy '28 Lipca 1943'/'28 lipca'|A1453229|30-233|KRAKÓW|28 Lipca 1943|17 A||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy '28 Lipca 1943'/'28 lipca'|A1752967|30-233|KRAKÓW|28 Lipca 1943|32D||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy '28 Lipca 1943'/'28 lipca'|A1851106|30-233|KRAKÓW|28 Lipca 1943|23a||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy '28 Lipca 1943'/'28 lipca'|A1857380|30-233|KRAKÓW|28 Lipca 1943|17a||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy '28 Lipca 1943'/'28 lipca'|A1913952|30-233|KRAKÓW|28 Lipca 1943|22||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy '28 lipca 1943r.'/'28 lipca'|A1468346|30-233|KRAKÓW|28 lipca 1943r.|48||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy '28 lipca 1943r'/'28 lipca'|A1855793|30-233|Kraków|28 lipca 1943r|27|1|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy '28 Lipca 1943r'/'28 lipca'|A1631708|30-233|KRAKÓW|28 Lipca 1943r|2||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy '28 lipca'/'28 lipca'|A1356259||KRAKÓW|28 lipca|8||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy '28 lipca'/'28 lipca'|A1273353|30-233|KRAKÓW|28 lipca|17a||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy '28 Lipca'/'28 lipca'|A1360476|30-233|KRAKÓW|28 Lipca|22||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy '28 Lipca'/'28 lipca'|A1831096|30-233|Kraków|28 Lipca|1943||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy '28 Lutego'/'28 lutego'|A1361026|78-400|SZCZECINEK|28 Lutego|2||||
Błędna nazwa ulicy '29-ego listopada'/'29-ego listopada'|A1466409|32-050|SKAWINA|29-ego listopada|12|3|||
Błędna nazwa ulicy '29-ego listopada'/'29-ego listopada'|ZA1466409|32-050|SKAWINA|29-ego listopada|12|3|MAŁOPOLSKIE|KRAKOWSKI|SKAWINA
Błędna nazwa ulicy '29-ego Listopada'/'29-ego listopada'|A1709275|31-401|Kraków|29-ego Listopada|32a|22|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy '2l.Bogucianka'/'2l. bogucianka'|A1794647|30-398|KRAKÓW|2l.Bogucianka|43||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy '2MPS'/'2mps'|A1915762|81-661|Gdynia|2MPS|5|29|||
Błędna nazwa ulicy '2oi Vagonnui pereulo'/'2oi vagonnui pereulo'|A1755997||Molodechno, Minskaya|2oi Vagonnui pereulo|1||||
Błędna nazwa ulicy '3- go Maja'/'3- go maja'|A1466901|39-200|DĘBICA|3- go Maja|16|8|||
Błędna nazwa ulicy '3-maja Maja'/'3-maja maja'|A1929353|36-200|BRZOZÓW|3-maja Maja|70||||
Błędna nazwa ulicy '30-lecia PRL'/'30-lecia prl'|A1640629|05-311|DĘBE WIELKIE|30-lecia PRL|20||||
Błędna nazwa ulicy '30-lecia PRL'/'30-lecia prl'|A1643166|32-310|Klucze|30-lecia PRL|8|58|||
Błędna nazwa ulicy '35 lecia PRL'/'35 lecia prl'|A1616130|42-500|Będzin|35 lecia PRL|17|5|||
Błędna nazwa ulicy '35 lecia PRL'/'35 lecia prl'|ZA1616130|42-500|Będzin|35 lecia PRL|17|5|ŚLĄSKIE|BĘDZIŃSKI|BĘDZIN
Błędna nazwa ulicy '380'/'380'|A1846180|32-065|MIĘKINIA|380|2||||
Błędna nazwa ulicy '3812402294owej'/'3812402294owej'|A1368446|37-500|JAROSŁAW|3812402294owej|18|12|||
Błędna nazwa ulicy '3G Hridaypur Station'/'3g hridaypur station'|A1680609||KALKUTA|3G Hridaypur Station|G1|454|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy '3iszki'/'3iszki'|A1396053|32-060|LISZKI|3iszki|49||||
Błędna nazwa ulicy '3l. Jana Pawła II'/'3l. jana pawla ii'|A1371242|37-450|STALOWA WOLA|3l. Jana Pawła II|62|20|PODKARPACKIE|STALOWOWOLSKI|STALOWA WOLA
Błędna nazwa ulicy '3l.Główna'/'3l. glowna'|A1416177|32-329|BOLESŁAW|3l.Główna|52||MAŁOPOLSKIE|OLKUSKI|BOLESŁAW
Błędna nazwa ulicy '3Maja'/'3maja'|A1282913|64-920|PIŁA|3Maja|2|67|WIELKOPOLSKIE|PILSKI|PIŁA
Błędna nazwa ulicy '3Maja'/'3maja'|A1294366|32-400|MYŚLENICE|3Maja|126b||||
Błędna nazwa ulicy '3Maja'/'3maja'|A1633161|32-400|MYŚLENICE|3Maja|16A||||
Błędna nazwa ulicy '3rólowej Jadwigi'/'3rolowej jadwigi'|A1468018|22-500|HRUBIESZÓW|3rólowej Jadwigi|1 D||||
Błędna nazwa ulicy '3s. Piłsudskiego'/'3s. pilsudskiego'|A1615394|37-500|Jarosław|3s. Piłsudskiego|11|15|||
Błędna nazwa ulicy '3s. Sobieskiego'/'3s. sobieskiego'|A1440683|37-610|NAROL|3s. Sobieskiego|3|5|||
Błędna nazwa ulicy '4. Pułku Piechoty WP'/'4. pulku piechoty wp'|A1683904|24-100|Puławy|4. Pułku Piechoty WP|8A||||
Błędna nazwa ulicy '40-lecia PRL'/'40-lecia prl'|A1463508|42-141|PRZYSTAJŃ|40-lecia PRL|41||||
Błędna nazwa ulicy '42 lydia street bennyrose Futa'/'42 lydia street bennyrose futa'|T1986702||Akure|42 lydia street bennyrose Futa|42||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy '49 12403002'/'49'|A1416124|24-103|WOLA OSIŃSKA|49 12403002|3A|2|||
Błędna nazwa ulicy '5 Kensington'/'5 kensington'|A1473500||COUNTRY DURHAM|5 Kensington|5||||
Błędna nazwa ulicy '5l. Pionierów Zielonej Góry'/'5l. pionierow zielonej gory'|A1357051||ZIELONA GÓRA|5l. Pionierów Zielonej Góry|3||||
Błędna nazwa ulicy '6-Sierpnia'/'6-sierpnia'|A1372943|39-300|MIELEC|6-Sierpnia|11||||
Błędna nazwa ulicy '61 1060ka'/'61'|A1368589|32-660|GORZÓW|61 1060ka|6||||
Błędna nazwa ulicy '61ngrot'/'61ngrot'|A1351071|32-353|TRZYCIĄŻ|61ngrot|42||MAŁOPOLSKIE||
Błędna nazwa ulicy '66 1940'/'66'|A1417016|32-091|MICHAŁOWICE|66 1940|a401076||||
Błędna nazwa ulicy '66'/'66'|A1351732|32-020|JAWCZYCE|66|100||MAŁOPOLSKIE||
Błędna nazwa ulicy '67 sk.'/'67 sk.'|A1987927||Aydin|67 sk.|17B|8|||
Błędna nazwa ulicy '69 czyna'/'69 czyna'|A1436205|38-340|KORCZYNA|69 czyna|61||||
Błędna nazwa ulicy '6l.Krakowskie Przedmieście'/'6l. krakowskie przedmiescie'|A1251147|32-300|OLKUSZ|6l.Krakowskie Przedmieście|12|6l.Krak|||
Błędna nazwa ulicy '73 Pułku Piechoty'/'73 pulku piechoty'|A1263906|40-474|KATOWICE|73 Pułku Piechoty|1||||
Błędna nazwa ulicy '73 Pułku Piechoty'/'73 pulku piechoty'|A1322114|40-474|KATOWICE|73 Pułku Piechoty|1||||
Błędna nazwa ulicy '73 Pułku Piechoty'/'73 pulku piechoty'|A1730747|40-467|KATOWICE|73 Pułku Piechoty|1||||
Błędna nazwa ulicy '75ka'/'75ka'|A1371279|43-220|BOJSZOWY|75ka|40||||
Błędna nazwa ulicy '78 1'/'78'|A1396950||KRAKÓW|78 1|0600076||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy '8-ego Marca'/'8-ego marca'|A1631538|77-400|ZŁOTÓW|8-ego Marca|3d||||
Błędna nazwa ulicy '90. Brzezowa'/'90. brzezowa'|A1392641|32-740|ŁAPNAÓW|90. Brzezowa|3||||
Błędna nazwa ulicy '91 10202964'/'91'|A1417188|38-460|JEDLICZE|91 10202964|01||||
Błędna nazwa ulicy '91 jana'/'91 jana'|A1468878|39-300|MIELEC|91 jana|7|27|||
Błędna nazwa ulicy '91.Altanowa'/'91. altanowa'|A1392604|30-132|KRAKÓW|91.Altanowa|18|87|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy '93 1090Orzeszkowej'/'93'|A1395575|59-300|LUBIN|93 1090Orzeszkowej|7/|3|||
Błędna nazwa ulicy 'A-2'/'a-2'|A1735226|32-086|Węgrzce|A-2|1||||
Błędna nazwa ulicy 'A-5'/'a-5'|A1828696|32-086|Węgrzce|A-5|24||||
Błędna nazwa ulicy 'a-8'/'a-8'|A1442064|32-086|WĘGRZCE|a-8|6||||
Błędna nazwa ulicy 'A,Libery'/'a,libery'|A1225007|30-821|KRAKÓW|A,Libery|18||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'A. J. Pawła II'/'pawla ii'|A1368627|37-450|STALOWA WOLA|A. J. Pawła II|52|25|||
Błędna nazwa ulicy 'A. Krajowej'/'krajowej'|A1309244|33-300|NOWY SĄCZ|A. Krajowej|25|15|||
Błędna nazwa ulicy 'A. Krajowej'/'krajowej'|A1294485|30-150|KRAKÓW|A. Krajowej|7|111|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'A. KRAJOWEJ'/'krajowej'|A1667245|30-150|KRAKÓW|A. KRAJOWEJ|7|147|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'A.FRYCZA MODRZEJEWSKIEGO'/'frycza modrzejewskiego'|A1671779|31-216|KRAKÓW|A.FRYCZA MODRZEJEWSKIEGO|8/3||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'A.Krajowej'/'krajowej'|A1250481|05-480|KARCZEW|A.Krajowej|24b||||
Błędna nazwa ulicy 'A.Krajowej'/'krajowej'|A1240862|42-200|CZĘSTOCHOWA|A.Krajowej|19||||
Błędna nazwa ulicy 'A.Krajowej'/'krajowej'|A1309253|33-300|NOWY SĄCZ|A.Krajowej|17|53|||
Błędna nazwa ulicy 'A.Krajowej'/'krajowej'|A1310583|40-750|KATOWICE|A.Krajowej|287|7|||
Błędna nazwa ulicy 'A.Krajowej'/'krajowej'|A1319344||OZORKÓW|A.Krajowej|20||||
Błędna nazwa ulicy 'A.Krajowej'/'krajowej'|A1321451|32-065|KRZESZOWICE|A.Krajowej|9|24|||
Błędna nazwa ulicy 'A.Krajowej'/'krajowej'|A1367935|05-500|PIASECZNO|A.Krajowej|2||||
Błędna nazwa ulicy 'A.Krajowej'/'krajowej'|A1353134|30-150|KRAKÓW|A.Krajowej|87|3|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'A.Krajowej'/'krajowej'|A1283769|30-150|KRAKÓW|A.Krajowej|7|44|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'A.Krajowej'/'krajowej'|A1267841|30-150|KRAKÓW|A.Krajowej|2|45|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'A.Krajowej'/'krajowej'|A1299332|30-150|KRAKÓW|A.Krajowej|77|15|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'A.Krajowej'/'krajowej'|A1302676|30-150|KRAKÓW|A.Krajowej|2|88|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'A.Krajowej'/'krajowej'|A1306765|30-150|KRAKÓW|A.Krajowej|87|21|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'A.Krajowej'/'krajowej'|A1318000|30-150|KRAKÓW|A.Krajowej|11||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'A.Krajowej'/'krajowej'|A1325126|30-150|KRAKÓW|A.Krajowej|85|38|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'A.Krajowej'/'krajowej'|S140||KRAKÓW|A.Krajowej|83|55|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'A.Krajowej'/'krajowej'|A1344380||KRAKÓW|A.Krajowej|7|188|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'A.Krajowej'/'krajowej'|A1328635|30-043|KRAKÓW|A.Krajowej|93|38|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'A.KRAJOWEJ'/'krajowej'|A1657001|31-150|KRAKÓW|A.KRAJOWEJ|7|152|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'A.Mickiewicza 30 Paw. A-0'/'mickiewicza 30 paw. a-0'|A1647760|30-059|KRAKÓW|A.Mickiewicza 30 Paw. A-0|235||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Ab Suberu Street, Alarere Esta'/'ab suberu street, alarere esta'|T1986703||Ibadan|Ab Suberu Street, Alarere Esta|2||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Abp. Jerzego Ableiwc'/'jerzego ableiwc'|A1689393|33-100|Tarnów|Abp. Jerzego Ableiwc|13B|31|||
