ID|Komunikat|Kod_Źródło|Kod_Wynik|Miasto_Źródło|Miasto_Wynik|Ulica_Źródło|Ulica_Wynik|Budynek_Źródło|Budynek_Wynik|Lokal_Źródło|Lokal_Wynik|Wojewodztwo_Źródło|Wojewodztwo_Wynik|Powiat_Źródło|Powiat_Wynik|Gmina_Źródło|Gmina_Wynik
A1221301|Nazwa miejscowości jest wymagana|*37-450||*||*||*8||*22||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1221328|Nazwa miejscowości jest wymagana|*36-207||*||*Grabownica Starz.||*252 a||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1221342|Nazwa miejscowości jest wymagana|*31-831||*||*CIENISTA||*47B||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1221343|Nazwa miejscowości jest wymagana|*39-123||*||*||*136||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1314291|Nazwa miejscowości jest wymagana|*||*||*Łobzowska||*11||*||*||*||*|
A1236540|Nazwa miejscowości jest wymagana|*31-845||*||*OS. PRZY ARCE||*13||*62||*||*||*|
A1236625|Nazwa miejscowości jest wymagana|*30-058||*||*Lea||*100||*28||*||*||*|
A39278|Nazwa miejscowości jest wymagana|*31-962||*||*os.Krakowiaków||*4||*10||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1237850|Nazwa miejscowości jest wymagana|*33-158||*||*||*426||*||*||*||*|
A1237914|Nazwa miejscowości jest wymagana|*||*||*-l.||*||*||*||*||*|
A1237918|Nazwa miejscowości jest wymagana|*||*||*POLNA||*||*||*||*||*|
A1344224|Nazwa miejscowości jest wymagana|*34-200||*||*os. Na Stawach||*8||*36||*||*||*|
A1190350|Nazwa miejscowości jest wymagana|*34-600||*||*Piłsudskiego||*68||*27||*||*||*|
A1333192|Nazwa miejscowości jest wymagana|*98-338||*||*Północna||*21||*||*||*||*|
A1292502|Nazwa miejscowości jest wymagana|*32-861||*||*||*400||*||*MAŁOPOLSKIE||*||*|
A1190523|Nazwa miejscowości jest wymagana|*27-220||*||*Sosnowa||*5||*11||*||*||*|
A1253777|Nazwa miejscowości jest wymagana|*34-332||*||*||*434||*||*ŚLĄSKIE||*||*|
A1354809|Nazwa miejscowości jest wymagana|*59-140||*||*Klasztorna||*22||*||*||*||*|
A1256635|Nazwa miejscowości jest wymagana|*32-712||*||*Dębina||*23||*||*||*||*|
A1256645|Nazwa miejscowości jest wymagana|*36-203||*||*Izdebki||*85 a||*||*||*||*|
A1256666|Nazwa miejscowości jest wymagana|*||*||*Kostarowice||*165||*||*||*||*|
A1256688|Nazwa miejscowości jest wymagana|*||*||*Bodaki||*2||*||*||*||*|
A1256709|Nazwa miejscowości jest wymagana|*||*||*Sądkowa||*137||*||*||*||*|
A1333270|Nazwa miejscowości jest wymagana|*22-250||*||*||*||*||*||*||*|
A1257789|Nazwa miejscowości jest wymagana|*43-300||*||*Braci Gierymskich||*2||*29||*||*||*|
A1257805|Nazwa miejscowości jest wymagana|*||*||*11-go Listopada||*18||*25||*||*||*|
A17702|Nazwa miejscowości jest wymagana|*33-380||*||*Czarny Potok||*33||*16||*MAŁOPOLSKIE||*NOWOSĄDECKI||*KRYNICA-ZDRÓJ|
A17706|Nazwa miejscowości jest wymagana|*33-380||*||*Czarny Potok||*11||*2||*MAŁOPOLSKIE||*NOWOSĄDECKI||*KRYNICA-ZDRÓJ|
A17707|Nazwa miejscowości jest wymagana|*33-380||*||*Źródlana||*57||*30||*MAŁOPOLSKIE||*NOWOSĄDECKI||*KRYNICA-ZDRÓJ|
A17747|Nazwa miejscowości jest wymagana|*33-380||*||*Zielenieckiego||*45||*||*MAŁOPOLSKIE||*NOWOSĄDECKI||*KRYNICA-ZDRÓJ|
A8909|Nazwa miejscowości jest wymagana|*32-089||*||*Wielka Wieś||*162,woj||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1258903|Nazwa miejscowości jest wymagana|*33-100||*||*KOWALSKIEGO||*7||*||*||*||*|
A1333340|Nazwa miejscowości jest wymagana|*34-211||*||*||*||*||*||*||*|
A147|Nazwa miejscowości jest wymagana|*33-380||*||*Czarny Potok||*33||*16||*MAŁOPOLSKIE||*NOWOSĄDECKI||*KRYNICA-ZDRÓJ|
A1193669|Nazwa miejscowości jest wymagana|*||*||*krakow||*||*||*ŁÓDZKIE||*WIELUŃSKI||*WIERZCHLAS|
A1190734|Nazwa miejscowości jest wymagana|*32-510||*||*Rutkowskiego||*5||*||*||*||*|
TU3452|Nazwa miejscowości jest wymagana|*30-110||*||*||*||*||*||*||*|
A1268182|Nazwa miejscowości jest wymagana|*||*||*.||*||*||*||*||*|
A1336941|Nazwa miejscowości jest wymagana|*32-310||*||*Studzienna||*4||*||*||*||*|
A1336942|Nazwa miejscowości jest wymagana|*39-200||*||*Metalowców||*19||*||*||*||*|
A1344236|Nazwa miejscowości jest wymagana|*34-236||*||*||*649||*||*||*||*|
A1206130|Nazwa miejscowości jest wymagana|*||*||*Chancza||*72||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1206134|Nazwa miejscowości jest wymagana|*||*||*Krakow||*||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1206148|Nazwa miejscowości jest wymagana|*||*||*Zubrzyca Gorna||*295||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1206169|Nazwa miejscowości jest wymagana|*||*||*tarnow||*||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1205441|Nazwa miejscowości jest wymagana|*||*||*Bednarskiego||*6||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1205448|Nazwa miejscowości jest wymagana|*39-434||*||*||*81||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1272089|Nazwa miejscowości jest wymagana|*30-798||*||*Topazowa||*8||*7||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1206097|Nazwa miejscowości jest wymagana|*31-610||*||*os. 1000-lecia||*63||*73||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1187662|Nazwa miejscowości jest wymagana|*30-132||*||*ulSzlachtowskiego||*73||*3||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1333138|Nazwa miejscowości jest wymagana|*17-200||*||*Lipowa||*39||*3||*||*||*|
A1207319|Nazwa miejscowości jest wymagana|*37-450||*||*ks. J. Popiełuszki||*41||*29||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1208119|Nazwa miejscowości jest wymagana|*43-600||*||*Działkowa||*21||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1206827|Nazwa miejscowości jest wymagana|*||*||*Zabierzow||*||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1206831|Nazwa miejscowości jest wymagana|*||*||*Tarnow||*||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1276219|Nazwa miejscowości jest wymagana|*||*||*mieszka||*||*||*||*||*|
A1276251|Nazwa miejscowości jest wymagana|*||*||*Włoska||*||*||*||*||*|
A1276266|Nazwa miejscowości jest wymagana|*||*||*Gołaśka||*||*||*||*||*|
A1276276|Nazwa miejscowości jest wymagana|*||*||*Wadowicka||*||*||*||*||*|
A1191386|Nazwa miejscowości jest wymagana|*||*||*Tenczynek||*539||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1284297|Nazwa miejscowości jest wymagana|*31-957||*||*OS.SŁONECZNE||*8||*51||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1284178|Nazwa miejscowości jest wymagana|*38-457||*||*kamieniecka||*9||*||*||*||*|
A1284216|Nazwa miejscowości jest wymagana|*26-200||*||*Piłkarska||*12||*||*||*||*|
A1284551|Nazwa miejscowości jest wymagana|*32-340||*||*Łokietka||*4||*10||*||*||*|
A1285067|Nazwa miejscowości jest wymagana|*32-300||*||*Reja||*2||*9||*||*||*|
A1285070|Nazwa miejscowości jest wymagana|*33-380||*||*Kościuszki||*11||*2 B||*||*||*|
A1285780|Nazwa miejscowości jest wymagana|*38-440||*||*Piwarskiego||*24||*24||*||*||*|
A1285803|Nazwa miejscowości jest wymagana|*||*||*os. ZWM||*8||*35||*||*||*|
A1197940|Nazwa miejscowości jest wymagana|*||*||*Krakow||*||*||*ŁÓDZKIE||*WIELUŃSKI||*WIERZCHLAS|
A1277782|Nazwa miejscowości jest wymagana|*31-452||*||*||*||*||*||*||*|
A1277788|Nazwa miejscowości jest wymagana|*44-313||*||*J. Dąbrowskiego||*41||*||*||*||*|
A1283208|Nazwa miejscowości jest wymagana|*37-562||*||*||*112||*||*||*||*|
A1201708|Nazwa miejscowości jest wymagana|*32-052||*||*ul.Zadworze||*54||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A17641|Nazwa miejscowości jest wymagana|*33-383||*||*Pułaskiego||*10a||*||*MAŁOPOLSKIE||*NOWOSĄDECKI||*KRYNICA-ZDRÓJ|
A1206043|Nazwa miejscowości jest wymagana|*||*||*Dabrowa Tarnowska||*||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1206045|Nazwa miejscowości jest wymagana|*||*||*Krakow||*||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1206049|Nazwa miejscowości jest wymagana|*||*||*Oswiecim||*||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1206052|Nazwa miejscowości jest wymagana|*||*||*Elblag||*||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1206054|Nazwa miejscowości jest wymagana|*||*||*Mrzyglod||*||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1206071|Nazwa miejscowości jest wymagana|*||*||*Sichow Maly||*||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1206081|Nazwa miejscowości jest wymagana|*||*||*Myslenice||*||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1206083|Nazwa miejscowości jest wymagana|*||*||*brzesko||*||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1206086|Nazwa miejscowości jest wymagana|*||*||*lesko||*||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1190681|Nazwa miejscowości jest wymagana|*25-548||*||*Orkana||*40||*22||*||*||*|
A1207165|Nazwa miejscowości jest wymagana|*||*||*60||*||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1207243|Nazwa miejscowości jest wymagana|*31-959||*||*os. Górali||*5||*108||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1207650|Nazwa miejscowości jest wymagana|*38-500||*||*Kochanowskiego||*13||*6||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1206888|Nazwa miejscowości jest wymagana|*38-400||*||*Orzeszkowej||*42||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1206919|Nazwa miejscowości jest wymagana|*65-735||*||*Batorego||*150||*5||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1206990|Nazwa miejscowości jest wymagana|*28-200||*||*Sawickiej||*9||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1218244|Nazwa miejscowości jest wymagana|*||*||*Rogoźno Wlkp.||*||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1218254|Nazwa miejscowości jest wymagana|*||*||*Nowa Wies||*||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1218267|Nazwa miejscowości jest wymagana|*||*||*Busko Z.||*||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1218268|Nazwa miejscowości jest wymagana|*||*||*Rzeszow||*||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1281585|Nazwa miejscowości jest wymagana|*39-400||*||*E. Orzeszkowej||*5||*8||*||*||*|
A1281588|Nazwa miejscowości jest wymagana|*28-366||*||*Jędrzejowa||*38||*||*||*||*|
A1281590|Nazwa miejscowości jest wymagana|*28-236||*||*||*9 a||*||*||*||*|
A1281592|Nazwa miejscowości jest wymagana|*31-926||*||*os. Centrum B||*4||*4||*||*||*|
A1281593|Nazwa miejscowości jest wymagana|*39-400||*||*Dekutowskiego||*22||*21||*||*||*|
A1281596|Nazwa miejscowości jest wymagana|*32-500||*||*Jordana||*4||*17||*||*||*|
A1281598|Nazwa miejscowości jest wymagana|*36-200||*||*Głowackiego||*80||*||*||*||*|
A1281600|Nazwa miejscowości jest wymagana|*32-700||*||*Uzbornia||*16||*||*||*||*|
A1281603|Nazwa miejscowości jest wymagana|*33-122||*||*||*105||*||*||*||*|
A1281605|Nazwa miejscowości jest wymagana|*37-310||*||*Bolesława Prusa||*2||*||*||*||*|
A1281610|Nazwa miejscowości jest wymagana|*30-252||*||*Nietoperzy||*16||*||*||*||*|
A1281615|Nazwa miejscowości jest wymagana|*33-100||*||*Leśna||*16 A||*98||*||*||*|
A1281618|Nazwa miejscowości jest wymagana|*68-246||*||*||*563||*||*||*||*|
A1281619|Nazwa miejscowości jest wymagana|*31-808||*||*os. Strusia||*7||*13||*||*||*|
A1281620|Nazwa miejscowości jest wymagana|*36-200||*||*Głowackiego||*31||*||*||*||*|
A1218813|Nazwa miejscowości jest wymagana|*||*||*Pcim||*846||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1209781|Nazwa miejscowości jest wymagana|*||*||*-||*||*||*||*||*|
A1220258|Nazwa miejscowości jest wymagana|*||*||*Kolbuszowa Górna||*379||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1220260|Nazwa miejscowości jest wymagana|*||*||*Komorniki||*32||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1220261|Nazwa miejscowości jest wymagana|*||*||*Wojska Polskiego||*8||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1219649|Nazwa miejscowości jest wymagana|*||*||*Os.700-Lecia||*38||*14||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1219650|Nazwa miejscowości jest wymagana|*||*||*Lętownia||*13||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1219651|Nazwa miejscowości jest wymagana|*||*||*Pułaskiego||*5||*32||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1219652|Nazwa miejscowości jest wymagana|*||*||*Kołłątaja||*36||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1219653|Nazwa miejscowości jest wymagana|*||*||*Strzelcow 9 B/15||*||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1219655|Nazwa miejscowości jest wymagana|*||*||*Oś.Łuczanowice||*||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1219656|Nazwa miejscowości jest wymagana|*||*||*Staniątki||*259 A||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1219692|Nazwa miejscowości jest wymagana|*||*||*Beskidzka||*145||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1208254|Nazwa miejscowości jest wymagana|*32-590||*||*Sikorskiego||*60||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1285826|Nazwa miejscowości jest wymagana|*38-500||*||*||*||*||*PODKARPACKIE||*||*|
A1219423|Nazwa miejscowości jest wymagana|*38-400||*||*Piastowska||*14||*15||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1219453|Nazwa miejscowości jest wymagana|*||*||*Nowy Świat||*30||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1219570|Nazwa miejscowości jest wymagana|*38-500||*||*Kopernika||*10||*51||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1219840|Nazwa miejscowości jest wymagana|*||*||*biały Kościół||*196||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1218307|Nazwa miejscowości jest wymagana|*||*||*Pinczow||*||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1218741|Nazwa miejscowości jest wymagana|*38-523||*||*wróblik Szlachecki||*207||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1218745|Nazwa miejscowości jest wymagana|*||*||*Kozmice Wielkie||*256||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1218795|Nazwa miejscowości jest wymagana|*||*||*-||*||*||*||*||*|
A1218847|Nazwa miejscowości jest wymagana|*||*||*Miedzybrodzie Zywieckie||*215||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1218949|Nazwa miejscowości jest wymagana|*||*||*Skrzydlna||*68||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1219641|Nazwa miejscowości jest wymagana|*||*||*Załęcze Wielkie||*48||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1220125|Nazwa miejscowości jest wymagana|*||*||*POLNA||*||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1220788|Nazwa miejscowości jest wymagana|*31-611||*||*||*||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1220799|Nazwa miejscowości jest wymagana|*33-121||*||*||*9||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1220879|Nazwa miejscowości jest wymagana|*67-200||*||*Przemysłowa||*25||*15||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1219768|Nazwa miejscowości jest wymagana|*30-838||*||*Heleny||*16||*94||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1292695|Nazwa miejscowości jest wymagana|*31-416||*||*Dobrego Pasterza||*108||*170||*||*||*|
A1299720|Nazwa miejscowości jest wymagana|*31-071||*||*Św. Agnieszki||*1||*24||*||*||*|
A1221457|Nazwa miejscowości jest wymagana|*30-130||*||*RYDLA||*14||*15||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1221607|Nazwa miejscowości jest wymagana|*32-555||*||*Zagórze||*641||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1221619|Nazwa miejscowości jest wymagana|*26-600||*||*Grzybowska||*28||*20||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1221653|Nazwa miejscowości jest wymagana|*33-100||*||*Promienna||*18||*35||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1222168|Nazwa miejscowości jest wymagana|*34-200||*||*os. BESKIDZKIE||*12||*13||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1294689|Nazwa miejscowości jest wymagana|*28-400||*||*||*||*||*||*||*|
A1281401|Nazwa miejscowości jest wymagana|*30-830||*||*P. Ściegiennego||*73||*3||*||*||*|
A1294548|Nazwa miejscowości jest wymagana|*25-431||*||*||*||*||*||*||*|
A1294572|Nazwa miejscowości jest wymagana|*31-457||*||*||*||*||*||*||*|
A1294573|Nazwa miejscowości jest wymagana|*30-147||*||*||*||*||*||*||*|
A1294574|Nazwa miejscowości jest wymagana|*37-300||*||*||*||*||*||*||*|
A1294576|Nazwa miejscowości jest wymagana|*39-300||*||*||*||*||*||*||*|
A1294577|Nazwa miejscowości jest wymagana|*38-480||*||*||*||*||*PODKARPACKIE||*||*|
A1294578|Nazwa miejscowości jest wymagana|*37-501||*||*||*||*||*PODKARPACKIE||*||*|
A1294579|Nazwa miejscowości jest wymagana|*28-200||*||*||*||*||*||*||*|
A1294586|Nazwa miejscowości jest wymagana|*30-638||*||*||*||*||*||*||*|
A1294588|Nazwa miejscowości jest wymagana|*37-741||*||*||*||*||*PODKARPACKIE||*||*|
A1294589|Nazwa miejscowości jest wymagana|*38-500||*||*||*||*||*PODKARPACKIE||*||*|
A1294591|Nazwa miejscowości jest wymagana|*38-500||*||*||*||*||*PODKARPACKIE||*||*|
A1294603|Nazwa miejscowości jest wymagana|*32-050||*||*||*||*||*||*||*|
A1294607|Nazwa miejscowości jest wymagana|*32-065||*||*||*||*||*||*||*|
A1294608|Nazwa miejscowości jest wymagana|*37-450||*||*||*||*||*||*||*|
A1294614|Nazwa miejscowości jest wymagana|*33-100||*||*||*||*||*||*||*|
A1294642|Nazwa miejscowości jest wymagana|*39-400||*||*||*||*||*||*||*|
A1294644|Nazwa miejscowości jest wymagana|*31-104||*||*Felicjanek||*16||*6||*||*||*|
A1294647|Nazwa miejscowości jest wymagana|*32-800||*||*||*||*||*MAŁOPOLSKIE||*||*|
A1294649|Nazwa miejscowości jest wymagana|*25-150||*||*||*||*||*ŚWIĘTOKRZYSKIE||*||*|
A1294652|Nazwa miejscowości jest wymagana|*30-334||*||*||*||*||*||*||*|
A1294654|Nazwa miejscowości jest wymagana|*23-400||*||*||*||*||*||*||*|
A1294660|Nazwa miejscowości jest wymagana|*32-300||*||*||*||*||*||*||*|
A1294670|Nazwa miejscowości jest wymagana|*32-800||*||*||*||*||*||*||*|
A1294672|Nazwa miejscowości jest wymagana|*32-050||*||*SADOWA||*11 A||*||*MAŁOPOLSKIE||*||*|
A1294674|Nazwa miejscowości jest wymagana|*34-600||*||*||*||*||*||*||*|
A1294676|Nazwa miejscowości jest wymagana|*30-349||*||*||*||*||*||*||*|
A1294679|Nazwa miejscowości jest wymagana|*30-324||*||*||*||*||*||*||*|
A1294685|Nazwa miejscowości jest wymagana|*31-422||*||*||*||*||*||*||*|
A1294687|Nazwa miejscowości jest wymagana|*39-303||*||*||*||*||*||*||*|
A1294693|Nazwa miejscowości jest wymagana|*26-600||*||*||*||*||*||*||*|
A1294695|Nazwa miejscowości jest wymagana|*28-300||*||*||*||*||*||*||*|
A1294701|Nazwa miejscowości jest wymagana|*28-300||*||*||*||*||*||*||*|
A1294703|Nazwa miejscowości jest wymagana|*38-400||*||*||*||*||*PODKARPACKIE||*||*|
A1294708|Nazwa miejscowości jest wymagana|*28-200||*||*||*||*||*ŚWIĘTOKRZYSKIE||*||*|
A1294709|Nazwa miejscowości jest wymagana|*34-400||*||*||*||*||*||*||*|
A1375016|Nazwa miejscowości jest wymagana|*||*||*WIELKOTYRNOWSKA||*39||*57||*||*||*|
A1220480|Nazwa miejscowości jest wymagana|*||*||*0||*||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1292479|Nazwa miejscowości jest wymagana|*31-422||*||*Strzelców||*17||*27||*||*||*|
A1292480|Nazwa miejscowości jest wymagana|*26-600||*||*Natolińska||*48||*||*MAZOWIECKIE||*||*|
A1295109|Nazwa miejscowości jest wymagana|*32-590||*||*||*||*||*||*||*|
A1295125|Nazwa miejscowości jest wymagana|*34-734||*||*||*||*||*MAŁOPOLSKIE||*||*|
A1295126|Nazwa miejscowości jest wymagana|*33-100||*||*||*||*||*MAŁOPOLSKIE||*||*|
A1295127|Nazwa miejscowości jest wymagana|*43-605||*||*||*||*||*||*||*|
A1295128|Nazwa miejscowości jest wymagana|*26-130||*||*||*||*||*ŚWIĘTOKRZYSKIE||*||*|
A1295131|Nazwa miejscowości jest wymagana|*38-243||*||*||*||*||*||*||*|
A1295132|Nazwa miejscowości jest wymagana|*43-220||*||*||*||*||*ŚLĄSKIE||*||*|
A1295136|Nazwa miejscowości jest wymagana|*34-600||*||*||*||*||*||*||*|
A1295139|Nazwa miejscowości jest wymagana|*34-600||*||*||*||*||*||*||*|
A1295141|Nazwa miejscowości jest wymagana|*37-700||*||*||*||*||*||*||*|
A1295145|Nazwa miejscowości jest wymagana|*67-200||*||*||*||*||*||*||*|
