STATUS;MIEJSCOWOŒÆ;ULICA;NUMERY;GMINA;POWIAT;WOJEWÓDZTWO;POPRZEDNIO;TERAZ
-;Blizne Jasiñskiego;Okrzei;;Stare Babice;warszawski zachodni;mazowieckie;05-082;
-;Blizne Jasiñskiego;Piotra Skargi;;Stare Babice;warszawski zachodni;mazowieckie;05-082;
-;Blizne Jasiñskiego;Stanis³awa Grzesiuka;;Stare Babice;warszawski zachodni;mazowieckie;05-082;
-;Blizne Jasiñskiego;Stanis³awa Moniuszki;;Stare Babice;warszawski zachodni;mazowieckie;05-082;
-;Blizne Jasiñskiego;Stefana ¯eromskiego;;Stare Babice;warszawski zachodni;mazowieckie;05-082;
-;Blizne Jasiñskiego;Tadeusza Koœciuszki;;Stare Babice;warszawski zachodni;mazowieckie;05-082;
-;Blizne Jasiñskiego;Warszawska;;Stare Babice;warszawski zachodni;mazowieckie;05-082;
-;Blizne Jasiñskiego;Zag³oby;;Stare Babice;warszawski zachodni;mazowieckie;05-082;
+;Blizne Jasiñskiego;;;Stare Babice;warszawski zachodni;mazowieckie;;05-082
+;Bolêcin;;;Trzebinia;chrzanowski;ma³opolskie;;32-540
+;Bór Zajaciñski;Wêzina;;Przystajñ;k³obucki;œl¹skie;;42-141
+;Bytom;Alberta;1-DK;Bytom;Bytom;œl¹skie;;41-923
+;Bytom;Alberta;8;Bytom;Bytom;œl¹skie;;41-902
-;Bytom;Alberta;;Bytom;Bytom;œl¹skie;41-923;
+;Bytom;Bartosza G³owackiego;2-10(p), 3-5(n);Bytom;Bytom;œl¹skie;;41-910
+;Bytom;Bartosza G³owackiego;4;Bytom;Bytom;œl¹skie;;41-902
-;Bytom;Bartosza G³owackiego;;Bytom;Bytom;œl¹skie;41-910;
-;Bytom;Jaskó³cza;1-7(n), 4, 12-14(p);Bytom;Bytom;œl¹skie;41-935;
-;Bytom;Jaskó³cza;2-4, 5-7(n), 8-12, 14-17;Bytom;Bytom;œl¹skie;41-923;
+;Bytom;Jaskó³cza;;Bytom;Bytom;œl¹skie;;41-935
+;Bytom;Owocowa;;Bytom;Bytom;œl¹skie;;41-914
+;Bytom;pl. Szpitalny;1-3;Bytom;Bytom;œl¹skie;;41-923
+;Bytom;pl. Szpitalny;3;Bytom;Bytom;œl¹skie;;41-902
-;Bytom;pl. Szpitalny;;Bytom;Bytom;œl¹skie;41-923;
+;Bytom;Relaksowa;;Bytom;Bytom;œl¹skie;;41-923
+;Bytom;skwer Na Stroszku;1, 2-4(p);Bytom;Bytom;œl¹skie;;41-933
+;Bytom;skwer Na Stroszku;4;Bytom;Bytom;œl¹skie;;41-902
-;Bytom;skwer Na Stroszku;;Bytom;Bytom;œl¹skie;41-933;
+;Bytom;W³adys³awa £okietka;1-7(n), 10-12;Bytom;Bytom;œl¹skie;;41-933
-;Bytom;W³adys³awa £okietka;1-7(n), 4-6(p), 10-12;Bytom;Bytom;œl¹skie;41-933;
+;Choroñ (Rajczykowizna);;;Poraj;myszkowski;œl¹skie;;42-360
+;Chorzów;ks. Stanis³awa Konarskiego;;Chorzów;Chorzów;œl¹skie;;41-506
-;Chorzów;Szczeciñska;1-DK;Chorzów;Chorzów;œl¹skie;41-506;
-;Chorzów;Szczeciñska;7-59(n), 10;Chorzów;Chorzów;œl¹skie;41-516;
+;Chorzów;Szczeciñska;;Chorzów;Chorzów;œl¹skie;;41-506
+;CzeladŸ;Genera³a Józefa Hallera;;CzeladŸ;bêdziñski;œl¹skie;;41-250
+;CzeladŸ;Irysów;;CzeladŸ;bêdziñski;œl¹skie;;41-253
+;CzeladŸ;Nasze Osiedle;;CzeladŸ;bêdziñski;œl¹skie;;41-250
+;CzeladŸ;Orzechowa;;CzeladŸ;bêdziñski;œl¹skie;;41-253
+;CzeladŸ;Parkowa;;CzeladŸ;bêdziñski;œl¹skie;;41-250
+;CzeladŸ;Skalna;;CzeladŸ;bêdziñski;œl¹skie;;41-250
+;CzeladŸ;Ska³ka;;CzeladŸ;bêdziñski;œl¹skie;;41-250
-;CzeladŸ;Szpitalna;8-60(p), 13-89(n);CzeladŸ;bêdziñski;œl¹skie;41-250;
+;CzeladŸ;Szpitalna;8-60(p), 21-89(n);CzeladŸ;bêdziñski;œl¹skie;;41-250
-;CzeladŸ;Szybikowa;102-116(p);CzeladŸ;bêdziñski;œl¹skie;41-250;
-;CzeladŸ;Szybikowa;1-DK;CzeladŸ;bêdziñski;œl¹skie;41-253;
+;CzeladŸ;Szybikowa;;CzeladŸ;bêdziñski;œl¹skie;;41-253
#;Czêstochowa;Dojazdowa;1-DK;Czêstochowa;Czêstochowa;œl¹skie;42-202;42-216
#;Czêstochowa;Dojazdowa;1-DK;Czêstochowa;Czêstochowa;œl¹skie;42-216;42-202
#;Czêstochowa;£owicka;1-DK;Czêstochowa;Czêstochowa;œl¹skie;42-271;42-221
#;Czêstochowa;£owicka;1-DK;Czêstochowa;Czêstochowa;œl¹skie;42-221;42-271
+;Czy¿ówka;;;Trzebinia;chrzanowski;ma³opolskie;;32-540
+;D¹browa Górnicza;Aleja Józefa Pi³sudskiego;1-13(n), 4-18(p);D¹browa Górnicza;D¹browa Górnicza;œl¹skie;;41-300
-;D¹browa Górnicza;Aleja Józefa Pi³sudskiego;1-13(n), 4-18(p), 92;D¹browa Górnicza;D¹browa Górnicza;œl¹skie;41-300;
-;D¹browa Górnicza;Aleja Józefa Pi³sudskiego;15-117(n), 20-76(p), 28-33, 90-92(p), 113-115;D¹browa Górnicza;D¹browa Górnicza;œl¹skie;41-303;
+;D¹browa Górnicza;Aleja Józefa Pi³sudskiego;15-117(n), 20-92(p), 28-115;D¹browa Górnicza;D¹browa Górnicza;œl¹skie;;41-303
+;D¹browa Górnicza;Ba¿antów;;D¹browa Górnicza;D¹browa Górnicza;œl¹skie;;42-530
-;D¹browa Górnicza;Budowlanych;11;D¹browa Górnicza;D¹browa Górnicza;œl¹skie;41-300;
-;D¹browa Górnicza;Budowlanych;1-11;D¹browa Górnicza;D¹browa Górnicza;œl¹skie;41-303;
+;D¹browa Górnicza;Budowlanych;;D¹browa Górnicza;D¹browa Górnicza;œl¹skie;;41-303
+;D¹browa Górnicza;Ceramiczna;;D¹browa Górnicza;D¹browa Górnicza;œl¹skie;;42-520
+;D¹browa Górnicza;Franciszkañska;;D¹browa Górnicza;D¹browa Górnicza;œl¹skie;;41-303
+;D¹browa Górnicza;Innowacyjna;;D¹browa Górnicza;D¹browa Górnicza;œl¹skie;;42-520
+;D¹browa Górnicza;Kamienna;;D¹browa Górnicza;D¹browa Górnicza;œl¹skie;;42-530
+;D¹browa Górnicza;Œw. Jana Paw³a II;;D¹browa Górnicza;D¹browa Górnicza;œl¹skie;;42-520
+;D¹browa Górnicza;Wiosenna;;D¹browa Górnicza;D¹browa Górnicza;œl¹skie;;42-530
-;Dêbowe Pole;;1-DK;Sienno;lipski;mazowieckie;27-350;
+;Dêbowe Pole;;;Sienno;lipski;mazowieckie;;27-350
-;Dêbowe Pole (Izabelin);;1-DK;Sienno;lipski;mazowieckie;05-640;
+;Dulowa;;;Trzebinia;chrzanowski;ma³opolskie;;32-545
+;Gdañsk;Borowiecka;;Gdañsk;Gdañsk;pomorskie;;80-298
+;Gdañsk;Pêpowska;;Gdañsk;Gdañsk;pomorskie;;80-298
-;Gdynia;Antoniego Abrahama;59-69(n), 62/64-72(p);Gdynia;Gdynia;pomorskie;81-393;
+;Gdynia;Antoniego Abrahama;59-69(n), 62-72(p);Gdynia;Gdynia;pomorskie;;81-393
-;Gdynia;Uczniowska;1-3, 21-25(n);Gdynia;Gdynia;pomorskie;81-647;
+;Gdynia;Uczniowska;1/3-3, 21-25(n);Gdynia;Gdynia;pomorskie;;81-647
+;Gliwice;Astrów;;Gliwice;Gliwice;œl¹skie;;44-152
-;Gliwice;Ciskaczy;;Gliwice;Gliwice;œl¹skie;44-103;
+;Gliwice;Józefa Elsnera;;Gliwice;Gliwice;œl¹skie;;44-105
-;Gliwice;Rêbaczy;;Gliwice;Gliwice;œl¹skie;44-103;
+;Gliwice;Ton'ego Halika;;Gliwice;Gliwice;œl¹skie;;44-105
-;Gliwice;Tony`ego Halika;;Gliwice;Gliwice;œl¹skie;44-105;
+;G³ogów;Modrzewiowa;;G³ogów;g³ogowski;dolnoœl¹skie;;67-200
+;G³ogów;S³onecznikowa;;G³ogów;g³ogowski;dolnoœl¹skie;;67-200
+;G³ogów;Ustronna;;G³ogów;g³ogowski;dolnoœl¹skie;;67-200
+;Gorzelnia;;;Blachownia;czêstochowski;œl¹skie;;42-290
+;Grabno;;1-45a(n), 47-48, 50-63, 65-85, 87-247, 249-DK;Wojnicz;tarnowski;ma³opolskie;;32-830
+;Grabno;;46, 49, 64, 86, 248;Wojnicz;tarnowski;ma³opolskie;;32-853
-;Grabno;;;Wojnicz;tarnowski;ma³opolskie;32-830;
+;Gzowice;;;Jedlnia-Letnisko;radomski;mazowieckie;;26-630
+;Gzowice-Folwark;;;Jedlnia-Letnisko;radomski;mazowieckie;;26-630
+;Gzowice-Kolonia;;;Jedlnia-Letnisko;radomski;mazowieckie;;26-630
#;Jasnowo;;;Chojnice;chojnicki;pomorskie;89-641;89-642
+;Jaworzno;Jana Kantego Steczkowskiego;;Jaworzno;Jaworzno;œl¹skie;;43-603
+;Jaworzno;Miodowa;1-17(n), 2-28(p);Jaworzno;Jaworzno;œl¹skie;;43-600
-;Jaworzno;Miodowa;1-42;Jaworzno;Jaworzno;œl¹skie;43-600;
-;Jaworzno;Miodowa;19-DK;Jaworzno;Jaworzno;œl¹skie;43-602;
+;Jaworzno;Miodowa;19-DK(n), 30-DK(p);Jaworzno;Jaworzno;œl¹skie;;43-602
+;Jaworzno;Pod Grodziskiem;;Jaworzno;Jaworzno;œl¹skie;;43-600
#;Jelenia Góra;Nadbrze¿na;1-DK;Jelenia Góra;Jelenia Góra;dolnoœl¹skie;58-500;58-560
#;Jelenia Góra;Nadbrze¿na;1-DK;Jelenia Góra;Jelenia Góra;dolnoœl¹skie;58-560;58-500
#;Jelenia Góra;Poprzeczna;1-DK;Jelenia Góra;Jelenia Góra;dolnoœl¹skie;58-560;58-500
#;Jelenia Góra;Poprzeczna;1-DK;Jelenia Góra;Jelenia Góra;dolnoœl¹skie;58-500;58-560
#;Jelenia Góra;Stefana ¯eromskiego;1-DK;Jelenia Góra;Jelenia Góra;dolnoœl¹skie;58-570;58-500
#;Jelenia Góra;Stefana ¯eromskiego;1-DK;Jelenia Góra;Jelenia Góra;dolnoœl¹skie;58-500;58-570
+;Jelenia Góra;Willowa;;Jelenia Góra;Jelenia Góra;dolnoœl¹skie;;58-560
+;Kad³ubiska;;;Narol;lubaczowski;podkarpackie;;37-610
#;Kamionka (osada);;;Chojnice;chojnicki;pomorskie;89-620;89-608
#;Kamionka (osada);;;Chojnice;chojnicki;pomorskie;89-608;89-620
+;Karniowice;;;Trzebinia;chrzanowski;ma³opolskie;;32-545
+;Kêdzierzyn-KoŸle;Pancernych;;Kêdzierzyn-KoŸle;kêdzierzyñsko-kozielski;opolskie;;47-200
+;Kêdzierzyn-KoŸle;Polskich Noblistów;;Kêdzierzyn-KoŸle;kêdzierzyñsko-kozielski;opolskie;;47-200
+;Kierszek;Kabacka;;Konstancin-Jeziorna;piaseczyñski;mazowieckie;;05-510
+;Kluczbork;Ksiêdza Skorupki;;Kluczbork;kluczborski;opolskie;;46-203
+;Knurów;Krucza;;Knurów;gliwicki;œl¹skie;;44-190
+;Knurów;Rybna;;Knurów;gliwicki;œl¹skie;;44-190
+;Kobiernice;Beskidzka;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Bielska;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Brzoskwiniowa;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Centralna;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Cicha;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Cisowa;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Cyprysowa;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Dolna;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Dworska;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Gajowa;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Go³êbia;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Górska;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Grabowa;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Graniczna;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Groblowa;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Grzybowa;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Handlowa;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Ja³owcowa;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Jod³owa;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Kamieniec;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Kamieniecka;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Kêcka;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Klubowa;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Krakowska;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Krañcowa;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Krótka;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;ks. Korzonkiewicza;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Kwiatowa;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Leœna;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Lipowa;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;£¹kowa;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;£ukowa;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;£upkowa;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Mieszczyñsko;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Mi³a;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Modrzewiowa;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Mokra;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Myœliwska;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Ogrodowa;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Orzechowa;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Osadowa;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Owocowa;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Pañska;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Parkowa;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Piesza;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Podlesie;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Polna;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Ró¿ana;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Sadowa;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Sarnia;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;S³oneczna;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Solna;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Sosnowa;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Spacerowa;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Spokojna;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Sportowa;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Startowa;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Stawowa;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Szkolna;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Œwierkowa;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Tradycyjna;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Ukryta;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Wa³owa;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Wczasowa;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Wierzbowa;;Por¹bka;bielski;œl¹skie;;43-354
+;Kobiernice;Wiœniowa;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Wodoci¹gowa;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Wolnoœci;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Wo³ek;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Wrzosowa;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Zagrodowa;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Zakole;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Zakosik;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Zamoœcie;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Zap³ocie;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Zastruzie;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;Zau³ek;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;ZawieŸnica;;Por¹bka;bielski;œl¹skie;;43-356
+;Kobiernice;¯ywiecka;;Por¹bka;bielski;œl¹skie;;43-356
-;Kobiernice;;;Por¹bka;bielski;œl¹skie;43-356;
+;Komorowo;;;Bia³a Piska;piski;warmiñsko-mazurskie;;12-230
-;Konin;Zajêcza;;Konin;Konin;wielkopolskie;62-510;
+;Konstancin-Jeziorna;Daliowa;;Konstancin-Jeziorna;piaseczyñski;mazowieckie;;05-510
+;Koszalin;Piêkna;;Koszalin;Koszalin;zachodniopomorskie;;75-202
+;Kraków (Kraków-Nowa Huta);os. Osiedle Niepodleg³oœci;1-10;Kraków;Kraków;ma³opolskie;;31-861
+;Kraków (Kraków-Nowa Huta);os. Osiedle Niepodleg³oœci;11-DK;Kraków;Kraków;ma³opolskie;;31-862
-;Kraków (Kraków-Nowa Huta);os. Osiedle Niepodleg³oœci;;Kraków;Kraków;ma³opolskie;31-861;
+;Kraków (Kraków-Podgórze);Alfreda Dauna;1-29(n), 2-22(p);Kraków;Kraków;ma³opolskie;;30-566
-;Kraków (Kraków-Podgórze);Alfreda Dauna;1-29(n), 2-24(p);Kraków;Kraków;ma³opolskie;30-566;
+;Kraków (Kraków-Podgórze);Alfreda Dauna;24-30(p), 31-DK;Kraków;Kraków;ma³opolskie;;30-629
-;Kraków (Kraków-Podgórze);Alfreda Dauna;26-30(p), 31-120;Kraków;Kraków;ma³opolskie;30-629;
+;Kraków (Kraków-Podgórze);Andrieja Sacharowa;1-10;Kraków;Kraków;ma³opolskie;;30-806
+;Kraków (Kraków-Podgórze);Andrieja Sacharowa;11-DK;Kraków;Kraków;ma³opolskie;;30-802
-;Kraków (Kraków-Podgórze);Andrieja Sacharowa;;Kraków;Kraków;ma³opolskie;30-806;
+;Kraków (Kraków-Podgórze);Bie¿anowska;126-DK(p), 147-DK(n);Kraków;Kraków;ma³opolskie;;30-856
-;Kraków (Kraków-Podgórze);Bie¿anowska;1-38, 39-113(n);Kraków;Kraków;ma³opolskie;30-812;
+;Kraków (Kraków-Podgórze);Bie¿anowska;1-38, 39-75(n), 40-70(p);Kraków;Kraków;ma³opolskie;;30-812
-;Kraków (Kraków-Podgórze);Bie¿anowska;40-94(p);Kraków;Kraków;ma³opolskie;30-826;
+;Kraków (Kraków-Podgórze);Bie¿anowska;72-124(p), 77-145(n);Kraków;Kraków;ma³opolskie;;30-826
-;Kraków (Kraków-Podgórze);Bie¿anowska;96-DK(p), 115-DK(n);Kraków;Kraków;ma³opolskie;30-856;
-;Kraków (Kraków-Podgórze);Boles³awa Limanowskiego;1-DK(n);Kraków;Kraków;ma³opolskie;30-551;
+;Kraków (Kraków-Podgórze);Boles³awa Limanowskiego;1-DK(n), 30-DK(p);Kraków;Kraków;ma³opolskie;;30-551
+;Kraków (Kraków-Podgórze);Boles³awa Limanowskiego;2-28(p);Kraków;Kraków;ma³opolskie;;30-534
-;Kraków (Kraków-Podgórze);Boles³awa Limanowskiego;2-DK(p);Kraków;Kraków;ma³opolskie;30-534;
#;Kraków (Kraków-Podgórze);Cechowa;10;Kraków;Kraków;ma³opolskie;30-685;30-614
+;Kraków (Kraków-Podgórze);Cechowa;10-DK;Kraków;Kraków;ma³opolskie;;30-685
+;Kraków (Kraków-Podgórze);Feliksa Jasieñskiego;1-13(n), 2-16(p);Kraków;Kraków;ma³opolskie;;30-899
